global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,empty_success_rate,obstacle_success_rate
0,-187.66370398573576,78.95968037139673,0.17,0.83,0.0,69.34,1.818905376890616,3.9720778703689574,0.8646295967312133,0.16512835304297663,0.08148254975483127,1.0,0.08791208791208792
10000,16.70357861183118,90.50931332369358,0.88,0.12,0.0,96.71,2.2583179611398374,3.10355637550354,0.9517324253955538,0.024816461586185504,0.0032054596215489606,1.0,0.8681318681318682
20000,47.67597535795081,38.18777295320902,0.97,0.03,0.0,99.86,2.334250413837144,2.875617516040802,0.9478799739073712,0.022481474063689166,0.0030542759863809335,1.0,0.967032967032967
30000,45.30830508321524,43.630990020147145,0.97,0.03,0.0,100.08,2.3017845421715175,2.702539656162262,0.9035956227201668,0.030825339728217428,0.006844524380495603,1.0,0.967032967032967
40000,37.90083849388175,52.16120071927687,0.9,0.05,0.0,102.56,2.442260836882633,2.592318847179413,0.8868729989327642,0.037100234009360376,0.004631435257410297,1.0,0.8901098901098901
50000,54.03218690548576,23.523551613859684,0.99,0.01,0.0,101.59,2.3323628326645123,2.5797849893569946,0.9122066628301042,0.04311447977163107,0.007382616399251895,1.0,0.989010989010989
60000,63.634718632008884,7.518861103898637,1.0,0.0,0.0,101.12,2.3558005633950234,2.382091174125671,0.9627173213135866,0.018690664556962024,0.0007416930379746836,1.0,1.0
70000,65.05447044185829,4.6614982715206885,1.0,0.0,0.0,102.19,2.4801010313630103,2.3000146985054015,0.9712472231037765,0.01663567863783149,0.0,1.0,1.0
80000,65.39287659313064,4.3409558497340734,1.0,0.0,0.0,102.1,2.474559178054333,2.3100227522850036,0.9757710651828299,0.01665034280117532,4.897159647404505e-05,1.0,1.0
90000,64.53015572417061,6.087237169255142,1.0,0.0,0.0,102.11,2.4713423043489455,2.31,0.9672558494404883,0.016844579375183626,0.0,1.0,1.0
100000,64.94303731549066,5.202577147787948,1.0,0.0,0.0,102.13,2.4575739827752114,2.33,0.9713940626787871,0.016351708606677763,0.0,1.0,1.0
110000,65.40708248301875,5.165183347375507,1.0,0.0,0.0,101.9,2.404607008993626,2.4057135915756227,0.9755770947583217,0.01579980372914622,4.9067713444553486e-05,1.0,1.0
120000,65.7508044064371,3.9367504383322798,1.0,0.0,0.0,101.97,2.4133443921804427,2.39,0.9801248566696394,0.015985093654996566,4.903402961655389e-05,1.0,1.0
130000,65.43504218890797,3.9867252925895724,1.0,0.0,0.0,102.26,2.488055987358093,2.33,0.9744891483690824,0.01642871112849599,0.0,1.0,1.0
140000,66.1475662741391,3.4186304315002602,1.0,0.0,0.0,102.02,2.42975383490324,2.4038193106651304,0.9865045515309695,0.015781219368751227,0.0,1.0,1.0
150000,66.30600542484783,3.716593705226485,1.0,0.0,0.0,101.7,2.4042952501773835,2.5575819873809813,0.9854877892852576,0.014355948869223206,4.9164208456243856e-05,1.0,1.0
160000,66.62057214576285,3.5201774676271222,1.0,0.0,0.0,101.45,2.3260272365808485,2.520127520561218,0.9886436545617863,0.01508132084770823,0.0,1.0,1.0
