global_step,episode,length,reward,success,collision,epsilon,temperature
112,1,112,34.850001951213926,1.0,0.0,0.19968266666666667,0.9986
176,2,64,-163.1471962109208,0.0,1.0,0.19950133333333334,0.9978
288,3,112,40.08235391229391,1.0,0.0,0.199184,0.9964
386,4,98,22.105584528297186,1.0,0.0,0.19890633333333335,0.995175
489,5,103,51.988188951741904,1.0,0.0,0.1986145,0.9938875
601,6,112,59.24229077482596,1.0,0.0,0.1982971666666667,0.9924875
651,7,50,-126.81358698103577,0.0,1.0,0.1981555,0.9918625
763,8,112,37.50459374859929,1.0,0.0,0.19783816666666668,0.9904625
837,9,74,-175.28399177081883,0.0,1.0,0.1976285,0.9895375
941,10,104,59.20151477353647,1.0,0.0,0.19733383333333335,0.9882375
997,11,56,-184.58770423475653,0.0,1.0,0.19717516666666668,0.9875375
1106,12,109,61.537521309714066,1.0,0.0,0.19686633333333334,0.986175
1219,13,113,63.13426174968481,1.0,0.0,0.1965461666666667,0.9847625
1326,14,107,65.3930239956826,1.0,0.0,0.196243,0.983425
1429,15,103,36.61391216982156,1.0,0.0,0.19595116666666668,0.9821375
1538,16,109,67.86355435382575,1.0,0.0,0.19564233333333333,0.980775
1645,17,107,58.502439822099404,1.0,0.0,0.19533916666666667,0.9794375
1751,18,106,7.942753268871456,1.0,0.0,0.19503883333333336,0.9781125
1855,19,104,21.0362914968282,1.0,0.0,0.1947441666666667,0.9768125
1965,20,110,59.85462698061019,1.0,0.0,0.1944325,0.9754375
2066,21,101,67.87065127771348,1.0,0.0,0.19414633333333334,0.974175
2175,22,109,31.42542820191011,1.0,0.0,0.19383750000000002,0.9728125
2277,23,102,-6.316533999983221,1.0,0.0,0.1935485,0.9715375
2383,24,106,71.87048547065933,1.0,0.0,0.19324816666666667,0.9702125
2486,25,103,66.50604623556137,1.0,0.0,0.19295633333333334,0.968925
2588,26,102,49.19801903469488,1.0,0.0,0.19266733333333336,0.96765
2690,27,102,57.53925836831331,1.0,0.0,0.19237833333333335,0.966375
2801,28,111,68.65740260016173,1.0,0.0,0.19206383333333335,0.9649875
2916,29,115,55.235941546969116,1.0,0.0,0.19173800000000002,0.96355
3018,30,102,68.265859994106,1.0,0.0,0.191449,0.962275
3127,31,109,68.78813903219998,1.0,0.0,0.19114016666666667,0.9609125000000001
3233,32,106,68.74038960039616,1.0,0.0,0.19083983333333335,0.9595875
3337,33,104,-6.447469894774258,1.0,0.0,0.19054516666666668,0.9582875
3442,34,105,58.5873858332634,1.0,0.0,0.19024766666666668,0.956975
3554,35,112,0.034807445015758276,1.0,0.0,0.18993033333333334,0.955575
3663,36,109,4.669631257653236,1.0,0.0,0.1896215,0.9542125
3773,37,110,71.86079095862806,1.0,0.0,0.18930983333333334,0.9528375
3888,38,115,2.106584094464779,1.0,0.0,0.188984,0.9514
3998,39,110,57.471535607706755,1.0,0.0,0.18867233333333333,0.950025
4104,40,106,23.803311444818974,1.0,0.0,0.188372,0.9487
4210,41,106,54.565955732017756,1.0,0.0,0.18807166666666666,0.947375
4317,42,107,63.50229453202337,1.0,0.0,0.1877685,0.9460375
4423,43,106,42.39774318737909,1.0,0.0,0.18746816666666669,0.9447125
4537,44,114,13.427193876355886,1.0,0.0,0.18714516666666667,0.9432875000000001
4637,45,100,-26.221015494316816,1.0,0.0,0.18686183333333334,0.9420375
4739,46,102,63.13769647432491,1.0,0.0,0.18657283333333335,0.9407625
4853,47,114,28.055510682985187,1.0,0.0,0.18624983333333334,0.9393375
4902,48,49,-203.82411879347637,0.0,1.0,0.186111,0.938725
4970,49,68,-195.09218848869205,0.0,1.0,0.18591833333333335,0.937875
5079,50,109,57.63864040467888,1.0,0.0,0.1856095,0.9365125
5138,51,59,-133.9428338892758,0.0,1.0,0.18544233333333335,0.935775
5249,52,111,41.99333133501932,1.0,0.0,0.18512783333333335,0.9343875
5359,53,110,69.25269934115931,1.0,0.0,0.18481616666666667,0.9330125
5472,54,113,24.805801820009947,1.0,0.0,0.18449600000000002,0.9316
5580,55,108,-2.1474033929407597,1.0,0.0,0.18419000000000002,0.93025
5686,56,106,69.07259494066238,1.0,0.0,0.18388966666666667,0.928925
5799,57,113,-4.208119862247258,1.0,0.0,0.1835695,0.9275125
5903,58,104,-29.924759746529162,1.0,0.0,0.18327483333333333,0.9262125
6004,59,101,52.23466706648469,1.0,0.0,0.1829886666666667,0.9249499999999999
6112,60,108,72.40944738034159,1.0,0.0,0.1826826666666667,0.9236
6211,61,99,55.63150165043771,1.0,0.0,0.18240216666666667,0.9223625
6319,62,108,66.4768215934746,1.0,0.0,0.18209616666666667,0.9210125
6427,63,108,22.403410121798515,1.0,0.0,0.18179016666666667,0.9196625
6540,64,113,63.99371556844562,1.0,0.0,0.18147000000000002,0.91825
6648,65,108,-3.985008886549622,1.0,0.0,0.18116400000000002,0.9169
6744,66,96,4.547850369941443,1.0,0.0,0.180892,0.9157
6859,67,115,-7.477697151218308,1.0,0.0,0.18056616666666667,0.9142625
6966,68,107,54.11464416375384,1.0,0.0,0.180263,0.912925
7073,69,107,68.88889190135524,1.0,0.0,0.17995983333333335,0.9115875
7185,70,112,-15.14971925970167,1.0,0.0,0.1796425,0.9101875
7229,71,44,-155.10091476514935,0.0,1.0,0.17951783333333335,0.9096375
7340,72,111,17.507182456552982,1.0,0.0,0.17920333333333335,0.90825
7436,73,96,47.276732478290796,1.0,0.0,0.17893133333333333,0.90705
7541,74,105,24.2070830501616,1.0,0.0,0.17863383333333335,0.9057375
7648,75,107,9.668453846126795,1.0,0.0,0.17833066666666667,0.9044
7704,76,56,-151.58472172543406,0.0,1.0,0.178172,0.9037
7804,77,100,6.271455954760313,1.0,0.0,0.17788866666666667,0.90245
7884,78,80,-163.79601983353496,0.0,1.0,0.17766200000000001,0.90145
7987,79,103,47.80468580266461,1.0,0.0,0.17737016666666666,0.9001625
8088,80,101,5.762513913214207,1.0,0.0,0.17708400000000002,0.8989
8154,81,66,-193.60852196486667,0.0,1.0,0.176897,0.898075
8261,82,107,63.22884106263518,1.0,0.0,0.17659383333333334,0.8967375
8367,83,106,63.821062569040805,1.0,0.0,0.17629350000000002,0.8954125
8472,84,105,58.78332668915391,1.0,0.0,0.175996,0.8941
8581,85,109,69.64027870818973,1.0,0.0,0.17568716666666667,0.8927375
8637,86,56,-199.17801302298903,0.0,1.0,0.1755285,0.8920375
8739,87,102,49.579056163318455,1.0,0.0,0.17523950000000002,0.8907625
8846,88,107,60.62325344607234,1.0,0.0,0.17493633333333333,0.889425
8958,89,112,45.347804959863424,1.0,0.0,0.17461900000000002,0.8880250000000001
9064,90,106,50.50618051644415,1.0,0.0,0.17431866666666668,0.8867
9179,91,115,69.10625795088708,1.0,0.0,0.17399283333333335,0.8852625000000001
9289,92,110,69.66660947725177,1.0,0.0,0.17368116666666666,0.8838875
9402,93,113,65.21616631746292,1.0,0.0,0.17336100000000002,0.882475
9507,94,105,12.62586049316451,1.0,0.0,0.1730635,0.8811625
9614,95,107,61.796950404532254,1.0,0.0,0.17276033333333335,0.879825
9717,96,103,57.819594748318195,1.0,0.0,0.1724685,0.8785375
9828,97,111,72.66076584812254,1.0,0.0,0.172154,0.87715
9936,98,108,3.0859029721468687,1.0,0.0,0.171848,0.8758
10002,99,66,-121.29731108108535,0.0,1.0,0.171661,0.8749750000000001
10105,100,103,71.3541192705743,1.0,0.0,0.17136916666666668,0.8736875
10213,101,108,34.77931360527873,1.0,0.0,0.17106316666666668,0.8723375
10319,102,106,65.44023128785193,1.0,0.0,0.17076283333333334,0.8710125
10427,103,108,63.424201030284166,1.0,0.0,0.17045683333333334,0.8696625
10533,104,106,-2.7930655740201473,1.0,0.0,0.17015650000000002,0.8683375
10592,105,59,-111.41663767209684,0.0,1.0,0.16998933333333335,0.8676
10700,106,108,70.20951865147799,1.0,0.0,0.16968333333333335,0.86625
10772,107,72,-166.90863431662,0.0,1.0,0.16947933333333334,0.8653500000000001
10880,108,108,61.21865231497213,1.0,0.0,0.16917333333333334,0.864
10990,109,110,70.42436667112634,1.0,0.0,0.1688616666666667,0.862625
11103,110,113,55.47586001455784,1.0,0.0,0.1685415,0.8612124999999999
11204,111,101,45.87048995774239,1.0,0.0,0.16825533333333334,0.85995
11316,112,112,25.092443116009235,1.0,0.0,0.167938,0.85855
11422,113,106,62.24960105866194,1.0,0.0,0.16763766666666668,0.857225
11529,114,107,9.66602436080575,1.0,0.0,0.1673345,0.8558875
11634,115,105,63.002429254353046,1.0,0.0,0.16703700000000002,0.854575
11732,116,98,41.343421309720725,1.0,0.0,0.16675933333333334,0.85335
11831,117,99,64.82478056102991,1.0,0.0,0.16647883333333335,0.8521125
11939,118,108,65.89890824258327,1.0,0.0,0.16617283333333333,0.8507625
12040,119,101,51.96714829513803,1.0,0.0,0.16588666666666668,0.8495
12156,120,116,68.67837499082088,1.0,0.0,0.165558,0.84805
12270,121,114,63.8846368053928,1.0,0.0,0.16523500000000002,0.846625
12373,122,103,59.73843766799837,1.0,0.0,0.16494316666666667,0.8453375000000001
12484,123,111,59.15534034743905,1.0,0.0,0.16462866666666667,0.84395
12549,124,65,-154.24732166714966,0.0,1.0,0.1644445,0.8431375
12652,125,103,14.44432722358033,1.0,0.0,0.16415266666666667,0.84185
12763,126,111,58.173909216653556,1.0,0.0,0.16383816666666667,0.8404625
12868,127,105,-6.446819756180048,1.0,0.0,0.16354066666666667,0.8391500000000001
12979,128,111,60.39094588346779,1.0,0.0,0.16322616666666667,0.8377625
13093,129,114,21.741605553776026,1.0,0.0,0.16290316666666668,0.8363375
13194,130,101,69.56110744131729,1.0,0.0,0.162617,0.835075
13301,131,107,11.286292484030128,1.0,0.0,0.16231383333333332,0.8337375
13413,132,112,68.06245641037822,1.0,0.0,0.16199650000000002,0.8323375
13518,133,105,19.558888673316687,1.0,0.0,0.161699,0.831025
13621,134,103,40.56844140961766,1.0,0.0,0.16140716666666666,0.8297375
13733,135,112,67.4066816708073,1.0,0.0,0.16108983333333335,0.8283375
13846,136,113,67.7668702211231,1.0,0.0,0.16076966666666667,0.826925
