global_step,episode,length,reward,success,collision,epsilon,temperature
57,1,57,-277.03083772957325,0.0,1.0,0.1998385,0.9992875
133,2,76,-280.710339397192,0.0,1.0,0.19962316666666668,0.9983375
197,3,64,-336.1701690554619,0.0,1.0,0.19944183333333335,0.9975375
257,4,60,-312.7145007662475,0.0,1.0,0.19927183333333334,0.9967875
312,5,55,-266.4458200931549,0.0,1.0,0.19911600000000002,0.9961
372,6,60,-259.1490008421242,0.0,1.0,0.198946,0.99535
434,7,62,-289.322870131582,0.0,1.0,0.19877033333333335,0.994575
499,8,65,-310.1079179570079,0.0,1.0,0.19858616666666667,0.9937625
557,9,58,-287.2295793071389,0.0,1.0,0.19842183333333335,0.9930375
617,10,60,-317.9003415890038,0.0,1.0,0.19825183333333335,0.9922875
682,11,65,-327.565555781126,0.0,1.0,0.19806766666666667,0.991475
750,12,68,-316.5204797424376,0.0,1.0,0.19787500000000002,0.990625
804,13,54,-254.27919913828373,0.0,1.0,0.197722,0.98995
866,14,62,-330.26050043525174,0.0,1.0,0.19754633333333335,0.989175
929,15,63,-326.6174746155739,0.0,1.0,0.19736783333333335,0.9883875
990,16,61,-293.229608212132,0.0,1.0,0.197195,0.987625
1058,17,68,-356.2915786355734,0.0,1.0,0.19700233333333333,0.986775
1122,18,64,-342.7462061494589,0.0,1.0,0.19682100000000002,0.985975
1181,19,59,-316.47658391296864,0.0,1.0,0.19665383333333333,0.9852375
1253,20,72,-320.3909677192569,0.0,1.0,0.19644983333333335,0.9843375
1317,21,64,-298.37642139196396,0.0,1.0,0.1962685,0.9835375
1374,22,57,-296.55141969025135,0.0,1.0,0.196107,0.982825
1440,23,66,-307.1678504385054,0.0,1.0,0.19592,0.982
1513,24,73,-344.20190030056983,0.0,1.0,0.1957131666666667,0.9810875
1572,25,59,-325.27247742936015,0.0,1.0,0.195546,0.98035
1635,26,63,-315.73876241222024,0.0,1.0,0.1953675,0.9795625
1707,27,72,-298.48330383747816,0.0,1.0,0.19516350000000002,0.9786625
1776,28,69,-333.6227790787816,0.0,1.0,0.194968,0.9778
1849,29,73,-260.57843562588096,0.0,1.0,0.19476116666666668,0.9768875
1913,30,64,-354.0941748172045,0.0,1.0,0.19457983333333334,0.9760875
1988,31,75,-368.1141774505377,0.0,1.0,0.19436733333333334,0.97515
2097,32,109,1.6065234574489295,1.0,0.0,0.19405850000000002,0.9737875
2203,33,106,-106.3201153841801,1.0,0.0,0.19375816666666668,0.9724625
2312,34,109,10.194420722778887,1.0,0.0,0.19344933333333333,0.9711
2427,35,115,-155.05497214570642,1.0,0.0,0.1931235,0.9696625
2501,36,74,-272.21516067534685,0.0,1.0,0.19291383333333334,0.9687375
2627,37,126,-106.64290131628513,1.0,0.0,0.19255683333333334,0.9671625
2757,38,130,-204.56905921176076,0.0,0.0,0.1921885,0.9655375
2875,39,118,-26.33933274447918,1.0,0.0,0.1918541666666667,0.9640625
2936,40,61,-249.9622745020315,0.0,1.0,0.19168133333333334,0.9633
3044,41,108,-24.762947387993336,1.0,0.0,0.19137533333333334,0.96195
3174,42,130,-62.6460085217841,0.0,0.0,0.191007,0.960325
3289,43,115,-15.675937198568135,1.0,0.0,0.19068116666666668,0.9588875
3403,44,114,-108.5608848547563,1.0,0.0,0.1903581666666667,0.9574625
3509,45,106,-94.07914303289726,1.0,0.0,0.19005783333333334,0.9561375
3616,46,107,-18.715065239928663,1.0,0.0,0.18975466666666668,0.9548
3669,47,53,-198.400636151433,0.0,1.0,0.1896045,0.9541375
3712,48,43,-196.6325289499946,0.0,1.0,0.1894826666666667,0.9536
3842,49,130,-219.3165464401245,0.0,0.0,0.18911433333333336,0.951975
3952,50,110,-0.23441193997859955,1.0,0.0,0.18880266666666667,0.9506
4057,51,105,-81.22862454131246,1.0,0.0,0.18850516666666667,0.9492875
4187,52,130,-142.49562602909282,0.0,0.0,0.18813683333333334,0.9476625
4254,53,67,-299.4137341398746,0.0,1.0,0.187947,0.946825
4312,54,58,-198.1215476989746,0.0,1.0,0.18778266666666668,0.9461
4425,55,113,-97.51020672172308,1.0,0.0,0.1874625,0.9446875
4533,56,108,-23.85256763966754,1.0,0.0,0.1871565,0.9433374999999999
4599,57,66,-289.47205819934607,0.0,1.0,0.1869695,0.9425125
4707,58,108,-120.95689231203869,1.0,0.0,0.1866635,0.9411625
4811,59,104,-20.386230617761612,1.0,0.0,0.18636883333333334,0.9398625
4885,60,74,-331.3349114959128,0.0,1.0,0.18615916666666668,0.9389375
4954,61,69,-150.72212857753038,0.0,1.0,0.18596366666666667,0.938075
5064,62,110,5.125993609428406,1.0,0.0,0.185652,0.9367
5173,63,109,-75.66901081474498,1.0,0.0,0.18534316666666667,0.9353375
5289,64,116,-81.971055211965,1.0,0.0,0.1850145,0.9338875
5367,65,78,-293.94117941334844,0.0,1.0,0.1847935,0.9329125
5467,66,100,-134.48622972890735,1.0,0.0,0.18451016666666667,0.9316625000000001
5535,67,68,-292.89190106093884,0.0,1.0,0.18431750000000002,0.9308125
5643,68,108,0.5229288297705352,1.0,0.0,0.18401150000000002,0.9294625
5752,69,109,-14.686253376305103,1.0,0.0,0.18370266666666668,0.9281
5832,70,80,-261.30708165466785,0.0,1.0,0.183476,0.9271
5904,71,72,-351.2179784215987,0.0,1.0,0.18327200000000002,0.9262
6015,72,111,-93.49646427854896,1.0,0.0,0.1829575,0.9248125
6111,73,96,-136.1409050435759,1.0,0.0,0.1826855,0.9236125
6223,74,112,-112.9375777170062,1.0,0.0,0.18236816666666666,0.9222125
6332,75,109,-117.65395812364295,1.0,0.0,0.18205933333333335,0.92085
6412,76,80,-331.3705874942243,0.0,1.0,0.18183266666666667,0.9198500000000001
6513,77,101,-115.81193022057414,1.0,0.0,0.1815465,0.9185875
6626,78,113,-92.67173234419897,1.0,0.0,0.18122633333333335,0.917175
6731,79,105,-2.321562636643648,1.0,0.0,0.18092883333333334,0.9158625
6833,80,102,-124.97487105801702,1.0,0.0,0.18063983333333333,0.9145875
6904,81,71,-342.532362408936,0.0,1.0,0.1804386666666667,0.9137
7018,82,114,0.6286804936826229,1.0,0.0,0.18011566666666667,0.912275
7126,83,108,-30.764412067830563,1.0,0.0,0.17980966666666667,0.910925
7232,84,106,14.58712288737297,1.0,0.0,0.17950933333333335,0.9096
7349,85,117,5.826283283531666,1.0,0.0,0.17917783333333334,0.9081375
7414,86,65,-332.3760377243161,0.0,1.0,0.17899366666666666,0.9073249999999999
7493,87,79,-158.02286336990073,0.0,1.0,0.17876983333333335,0.9063375
7601,88,108,-89.53193761687726,1.0,0.0,0.17846383333333335,0.9049875000000001
7670,89,69,-314.56572112441063,0.0,1.0,0.17826833333333333,0.9041250000000001
7778,90,108,-13.886138149056933,1.0,0.0,0.17796233333333333,0.902775
7895,91,117,-79.13133487850428,1.0,0.0,0.17763083333333335,0.9013125
7970,92,75,-314.21285255998373,0.0,1.0,0.17741833333333334,0.900375
8084,93,114,-3.972578089684248,1.0,0.0,0.17709533333333333,0.89895
8191,94,107,-115.30432384135202,1.0,0.0,0.17679216666666667,0.8976125
8300,95,109,-94.02393362017347,1.0,0.0,0.17648333333333335,0.89625
8406,96,106,-8.906056728214025,1.0,0.0,0.176183,0.894925
8522,97,116,-79.19264920800924,1.0,0.0,0.17585433333333333,0.893475
8584,98,62,-292.0132777057588,0.0,1.0,0.17567866666666668,0.8927
8662,99,78,-346.06026441045105,0.0,1.0,0.17545766666666668,0.891725
8768,100,106,-97.84725952148438,1.0,0.0,0.17515733333333333,0.8904
8878,101,110,-86.35223162638067,1.0,0.0,0.17484566666666668,0.889025
8947,102,69,-347.33223543688655,0.0,1.0,0.17465016666666666,0.8881625
9062,103,115,-2.4494616463780403,1.0,0.0,0.17432433333333336,0.886725
9168,104,106,-102.42110474035144,1.0,0.0,0.174024,0.8854
9276,105,108,-10.32544520497322,1.0,0.0,0.173718,0.88405
9340,106,64,-195.33705196902156,0.0,1.0,0.17353666666666667,0.88325
9449,107,109,-186.70125482603908,1.0,0.0,0.17322783333333333,0.8818874999999999
9566,108,117,-27.53635421441868,1.0,0.0,0.17289633333333335,0.880425
9681,109,115,-154.5616925135255,1.0,0.0,0.17257050000000002,0.8789875
9796,110,115,-16.07647205144167,1.0,0.0,0.17224466666666668,0.87755
9902,111,106,-32.79513158695772,1.0,0.0,0.17194433333333334,0.876225
10014,112,112,-124.3307121321559,1.0,0.0,0.171627,0.874825
