global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
0,-67.42802737934863,107.62086269181914,0.74,0.26,93.64,0.6202980560529977,1.2192188644409179
10000,-60.66929690083893,91.9948060067259,0.84,0.16,101.83,0.41327828374691306,2.256354269385338
20000,-59.88718017676332,89.11182750617554,0.77,0.23,99.22,0.3214931396802422,2.25018763422966
30000,-30.457894913393538,78.69652295126237,0.89,0.11,102.91,0.4360352976815193,2.228072997331619
40000,-33.36753577905707,63.163180882792126,0.64,0.05,112.13,0.44921087765338596,2.310107374191284
50000,-11.501522355957423,53.83020426686406,0.96,0.04,105.07,0.4528725331090391,2.3667385387420654
60000,-6.89569532972102,53.37824833042575,0.97,0.03,105.9,0.4978673667367548,2.273889046907425
70000,-3.6597504431786363,41.991513546085685,0.98,0.02,106.48,0.5154670682328287,2.2681389582157134
80000,-4.674880923005694,42.11272030718795,0.98,0.02,106.69,0.5129874771891627,2.350471957921982
90000,-1.3224907184119365,37.457508448408966,0.99,0.01,106.73,0.49706230278592556,2.1973382449150085
100000,-3.846867929909895,42.61526598590178,0.97,0.03,105.87,0.5004423794569448,2.193031395673752
