global_step,episode,length,reward,success,collision,epsilon,temperature
49,1,49,-116.19408586621284,0.0,1.0,0.8997223333333334,0.999755
89,2,40,-127.59351921081543,0.0,1.0,0.8994956666666667,0.999555
146,3,57,-145.14535003900528,0.0,1.0,0.8991726666666667,0.99927
204,4,58,-153.51970644295216,0.0,1.0,0.898844,0.99898
236,5,32,-132.60191683471203,0.0,1.0,0.8986626666666667,0.99882
271,6,35,-120.00115595012903,0.0,1.0,0.8984643333333333,0.998645
326,7,55,-145.8785883486271,0.0,1.0,0.8981526666666667,0.99837
380,8,54,-138.9159675836563,0.0,1.0,0.8978466666666667,0.9981
431,9,51,-139.88822093605995,0.0,1.0,0.8975576666666667,0.997845
475,10,44,-152.03745163977146,0.0,1.0,0.8973083333333334,0.997625
529,11,54,-153.7134272158146,0.0,1.0,0.8970023333333333,0.997355
569,12,40,-141.12848864495754,0.0,1.0,0.8967756666666666,0.997155
611,13,42,-129.9573287218809,0.0,1.0,0.8965376666666667,0.996945
646,14,35,-129.52032977342606,0.0,1.0,0.8963393333333334,0.99677
696,15,50,-143.06294950842857,0.0,1.0,0.8960560000000001,0.99652
736,16,40,-137.29586154222488,0.0,1.0,0.8958293333333334,0.99632
786,17,50,-125.10176070034504,0.0,1.0,0.8955460000000001,0.99607
825,18,39,-119.93667720258236,0.0,1.0,0.895325,0.995875
860,19,35,-98.1837752982974,0.0,1.0,0.8951266666666667,0.9957
903,20,43,-110.0438677072525,0.0,1.0,0.894883,0.995485
954,21,51,-133.28403241932392,0.0,1.0,0.894594,0.99523
1006,22,52,-144.70580868422985,0.0,1.0,0.8942993333333333,0.99497
1036,23,30,-109.50493916869164,0.0,1.0,0.8941293333333333,0.99482
1071,24,35,-104.24741652607918,0.0,1.0,0.893931,0.994645
1125,25,54,-132.43627685308456,0.0,1.0,0.893625,0.994375
1159,26,34,-102.66884298622608,0.0,1.0,0.8934323333333334,0.994205
1202,27,43,-155.92670130729675,0.0,1.0,0.8931886666666667,0.99399
1229,28,27,-114.67800103127956,0.0,1.0,0.8930356666666667,0.993855
1269,29,40,-108.58154039084911,0.0,1.0,0.8928090000000001,0.993655
1304,30,35,-104.22326029837132,0.0,1.0,0.8926106666666667,0.99348
1355,31,51,-129.59163935482502,0.0,1.0,0.8923216666666667,0.993225
1395,32,40,-128.4345756471157,0.0,1.0,0.892095,0.993025
1438,33,43,-135.4090060442686,0.0,1.0,0.8918513333333333,0.99281
1487,34,49,-167.7806161493063,0.0,1.0,0.8915736666666667,0.992565
1556,35,69,-131.29907824099064,0.0,1.0,0.8911826666666667,0.99222
1610,36,54,-140.2230711877346,0.0,1.0,0.8908766666666667,0.99195
1657,37,47,-117.3841460943222,0.0,1.0,0.8906103333333334,0.991715
1691,38,34,-118.07451064884663,0.0,1.0,0.8904176666666667,0.991545
1737,39,46,-124.99935913085938,0.0,1.0,0.890157,0.991315
1793,40,56,-155.2011635452509,0.0,1.0,0.8898396666666667,0.991035
1845,41,52,-128.60695052146912,0.0,1.0,0.889545,0.990775
1883,42,38,-124.9657299220562,0.0,1.0,0.8893296666666667,0.990585
1925,43,42,-129.989081710577,0.0,1.0,0.8890916666666667,0.990375
1980,44,55,-100.53853780031204,0.0,1.0,0.88878,0.9901
2039,45,59,-125.89946635067463,0.0,1.0,0.8884456666666667,0.989805
2087,46,48,-134.2415326833725,0.0,1.0,0.8881736666666666,0.989565
2113,47,26,-103.84395423531532,0.0,1.0,0.8880263333333334,0.989435
2146,48,33,-127.63328690826893,0.0,1.0,0.8878393333333333,0.98927
2201,49,55,-135.65123212337494,0.0,1.0,0.8875276666666667,0.988995
2250,50,49,-126.5217683762312,0.0,1.0,0.88725,0.98875
2301,51,51,-113.16162909567356,0.0,1.0,0.886961,0.988495
2340,52,39,-125.03088518977165,0.0,1.0,0.88674,0.9883
2388,53,48,-129.4028221964836,0.0,1.0,0.886468,0.98806
2427,54,39,-117.87876875698566,0.0,1.0,0.886247,0.987865
2468,55,41,-108.02510526776314,0.0,1.0,0.8860146666666667,0.98766
2517,56,49,-107.68753729760647,0.0,1.0,0.885737,0.987415
2563,57,46,-143.43267387151718,0.0,1.0,0.8854763333333333,0.987185
2621,58,58,-124.56804463267326,0.0,1.0,0.8851476666666667,0.986895
2650,59,29,-112.55148200690746,0.0,1.0,0.8849833333333333,0.98675
2704,60,54,-161.61968205869198,0.0,1.0,0.8846773333333333,0.98648
2746,61,42,-115.54625433683395,0.0,1.0,0.8844393333333334,0.98627
2789,62,43,-135.5614728629589,0.0,1.0,0.8841956666666667,0.986055
2836,63,47,-105.19152472913265,0.0,1.0,0.8839293333333333,0.98582
2877,64,41,-119.93498238921165,0.0,1.0,0.8836970000000001,0.985615
2912,65,35,-128.16680231690407,0.0,1.0,0.8834986666666667,0.98544
2967,66,55,-140.4630554318428,0.0,1.0,0.883187,0.985165
3011,67,44,-116.28532627224922,0.0,1.0,0.8829376666666667,0.984945
3065,68,54,-151.21551664173603,0.0,1.0,0.8826316666666667,0.984675
3100,69,35,-133.1892071813345,0.0,1.0,0.8824333333333334,0.9845
3153,70,53,-139.80230045318604,0.0,1.0,0.8821330000000001,0.984235
3206,71,53,-153.91940248012543,0.0,1.0,0.8818326666666667,0.98397
3246,72,40,-143.2341415733099,0.0,1.0,0.881606,0.98377
3304,73,58,-132.81172385811806,0.0,1.0,0.8812773333333334,0.98348
3355,74,51,-163.993847027421,0.0,1.0,0.8809883333333334,0.983225
3395,75,40,-152.1368307173252,0.0,1.0,0.8807616666666667,0.983025
3455,76,60,-118.68149200081825,0.0,1.0,0.8804216666666667,0.982725
3494,77,39,-132.39289173483849,0.0,1.0,0.8802006666666667,0.98253
3544,78,50,-123.66401195526123,0.0,1.0,0.8799173333333333,0.98228
3573,79,29,-101.53962381184101,0.0,1.0,0.879753,0.982135
3620,80,47,-151.1045998930931,0.0,1.0,0.8794866666666666,0.9819
3664,81,44,-113.33418732881546,0.0,1.0,0.8792373333333333,0.98168
3697,82,33,-118.41704687476158,0.0,1.0,0.8790503333333334,0.981515
3743,83,46,-145.72597712278366,0.0,1.0,0.8787896666666667,0.981285
3783,84,40,-141.7629412561655,0.0,1.0,0.878563,0.981085
3820,85,37,-124.91441376507282,0.0,1.0,0.8783533333333333,0.9809
3868,86,48,-140.21431612968445,0.0,1.0,0.8780813333333334,0.98066
3926,87,58,-111.51401880383492,0.0,1.0,0.8777526666666667,0.98037
3962,88,36,-122.21356251835823,0.0,1.0,0.8775486666666666,0.98019
4004,89,42,-128.98028641939163,0.0,1.0,0.8773106666666667,0.97998
4055,90,51,-131.352424249053,0.0,1.0,0.8770216666666667,0.979725
4103,91,48,-165.43501710891724,0.0,1.0,0.8767496666666666,0.979485
4161,92,58,-115.63547006249428,0.0,1.0,0.876421,0.979195
4205,93,44,-126.91114273667336,0.0,1.0,0.8761716666666667,0.978975
4258,94,53,-148.3785339742899,0.0,1.0,0.8758713333333333,0.97871
4317,95,59,-117.26330570876598,0.0,1.0,0.875537,0.978415
4349,96,32,-125.72354371845722,0.0,1.0,0.8753556666666666,0.978255
4388,97,39,-128.45991361141205,0.0,1.0,0.8751346666666667,0.97806
4442,98,54,-151.64626778662205,0.0,1.0,0.8748286666666667,0.97779
4492,99,50,-138.70305329561234,0.0,1.0,0.8745453333333334,0.97754
4550,100,58,-162.53990469872952,0.0,1.0,0.8742166666666666,0.97725
4601,101,51,-136.02340941131115,0.0,1.0,0.8739276666666667,0.976995
4658,102,57,-128.00142434239388,0.0,1.0,0.8736046666666667,0.97671
4703,103,45,-145.70642310380936,0.0,1.0,0.8733496666666667,0.976485
4762,104,59,-142.01340094208717,0.0,1.0,0.8730153333333334,0.97619
4796,105,34,-111.9953830242157,0.0,1.0,0.8728226666666667,0.97602
4829,106,33,-124.97538001835346,0.0,1.0,0.8726356666666667,0.975855
4861,107,32,-94.25598537921906,0.0,1.0,0.8724543333333333,0.975695
4912,108,51,-122.06730368733406,0.0,1.0,0.8721653333333333,0.97544
4961,109,49,-134.38009068369865,0.0,1.0,0.8718876666666667,0.975195
4995,110,34,-105.03816969692707,0.0,1.0,0.871695,0.975025
5051,111,56,-149.45106649398804,0.0,1.0,0.8713776666666667,0.974745
5109,112,58,-137.48703353106976,0.0,1.0,0.8710490000000001,0.974455
5168,113,59,-130.55000688135624,0.0,1.0,0.8707146666666666,0.97416
5220,114,52,-120.92837315797806,0.0,1.0,0.87042,0.9739
5269,115,49,-133.12640923261642,0.0,1.0,0.8701423333333334,0.973655
5321,116,52,-121.32656981050968,0.0,1.0,0.8698476666666667,0.973395
5371,117,50,-151.24659517407417,0.0,1.0,0.8695643333333334,0.973145
5424,118,53,-123.76758249849081,0.0,1.0,0.869264,0.97288
5479,119,55,-136.4939292818308,0.0,1.0,0.8689523333333333,0.972605
5507,120,28,-121.31032258272171,0.0,1.0,0.8687936666666667,0.972465
