global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
0,-68.89493436781457,111.18238762188452,0.79,0.21,96.9,0.5052149366680533,1.286570231318474
10000,-34.280454297396936,84.77021707854699,0.84,0.16,99.97,0.3701773511385545,2.2545185434818267
20000,-52.64495725494587,97.07364857033504,0.73,0.17,104.91,0.4322484758481733,3.274705139398575
30000,-33.28870509602581,80.60133713677808,0.89,0.11,102.45,0.40741238656744827,2.539694004058838
40000,-25.058071739246916,74.49656580779167,0.93,0.07,104.48,0.4355641482383362,2.3635192060470582
50000,-9.41897281573736,51.64627134823645,0.98,0.02,107.59,0.48919173787813636,2.5534247982501985
60000,-7.929871320971106,56.264870289072164,0.96,0.04,106.4,0.5095021252939478,2.807682287693024
70000,-0.39131459895987064,44.315899833810796,0.98,0.02,106.41,0.50198532733717,2.8624581730365755
80000,-0.19155332879949127,41.972756609585716,0.98,0.02,106.38,0.5040379648991075,3.001345158815384
90000,0.890304100428184,43.97043761349539,0.98,0.02,106.35,0.506481461651856,2.948918092250824
100000,6.0927437522338,35.379673741983694,0.99,0.01,106.64,0.5054862347431481,2.9624879717826844
