global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
10000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
20000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
30000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
40000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
50000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
60000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
70000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
80000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
90000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
100000,41.519881899157625,62.77139405603914,0.93,0.07,103.45,0.3842746965889819,2.1853322970867155
