global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,empty_success_rate,obstacle_success_rate
0,-39.69382566846831,105.61034231301501,0.64,0.36,0.36,86.56,2.54207080386579,1.327875161767006,0.9799620333263025,0.03685304990757856,0.004043438077634011,1.0,0.6043956043956044
10000,-37.78244324425643,114.4710183138755,0.82,0.18,0.07,97.21,2.114433777423983,1.5063783246278764,0.9372051886792453,0.06552823783561362,0.02540890854850324,1.0,0.8021978021978022
20000,-24.520109899269954,117.14702046310225,0.84,0.16,0.12,98.05,2.167701539462432,1.4679839986562728,0.9523486682808717,0.046659867414584395,0.009178990311065782,1.0,0.8241758241758241
30000,-21.35554016634793,103.5035444642507,0.86,0.14,0.11,98.5,2.25091779475566,1.4418340229988098,0.85,0.04730964467005076,0.012131979695431472,1.0,0.8461538461538461
40000,-14.246303215300868,102.92617985028339,0.87,0.13,0.07,98.91,2.228084308236139,1.4772231966257094,0.8958373114378461,0.041603477909210394,0.011576180365989282,1.0,0.8571428571428571
50000,-12.42375530460282,98.7122775217888,0.88,0.12,0.06,99.32,2.2140188551938627,1.4877655857801437,0.8921933085501859,0.03886427708417237,0.010471204188481676,1.0,0.8681318681318682
60000,-12.598539260164252,102.76435264500046,0.88,0.12,0.04,99.79,2.1922326015445286,1.4963703757524491,0.8927005908137984,0.03502354945385309,0.007415572702675619,1.0,0.8681318681318682
70000,-13.188753548989844,98.52655436861475,0.88,0.12,0.03,99.52,2.184881213004701,1.50461092710495,0.9095597364148601,0.035219051446945336,0.008088826366559486,1.0,0.8681318681318682
80000,-7.811192715163052,94.60617168073934,0.91,0.09,0.02,100.67,2.2005536756210495,1.5047039490938188,0.8968858782575971,0.03362471441343002,0.0051653918744412435,1.0,0.9010989010989011
90000,-5.5195344591228785,90.87388365000425,0.91,0.09,0.02,100.52,2.182487124899635,1.5089733302593231,0.911504424778761,0.03422204536410665,0.005123358535614803,1.0,0.9010989010989011
100000,-1.2640515210146988,85.64117171317008,0.92,0.08,0.02,100.94,2.1977596102061216,1.5226405435800552,0.9292118042584984,0.031652466811967504,0.003962750148603131,1.0,0.9120879120879121
110000,-7.919562880293888,95.84821393850031,0.9,0.1,0.01,100.13,2.1841252178663852,1.528965031504631,0.9131790269248937,0.03889943074003795,0.006341755717567163,1.0,0.8901098901098901
120000,-0.8117496049457259,85.70269949906715,0.92,0.08,0.02,100.87,2.193425562476914,1.5411011338233949,0.9415560127174116,0.03499553881233271,0.006394368989788837,1.0,0.9120879120879121
130000,-0.25624900828326647,84.61623512047504,0.91,0.09,0.04,100.19,2.2151618226664143,1.5284061497449875,0.9451230971621876,0.03508334165086336,0.006687294141131849,1.0,0.9010989010989011
140000,0.06902323166425049,83.1477828787858,0.92,0.08,0.04,100.67,2.2289392467506697,1.5238366734981537,0.9384572282405678,0.03352537995430615,0.005463395251812854,1.0,0.9120879120879121
150000,-1.2196686581979883,83.6995494311631,0.91,0.09,0.05,99.85,2.24255877590389,1.5293647134304047,0.9318972815351331,0.03480220330495744,0.00485728592889334,1.0,0.9010989010989011
160000,-10.078042788173262,101.29064711673811,0.87,0.13,0.01,98.81,2.179624010057887,1.6475739514827727,0.9154538490999617,0.033954053233478394,0.004959012245724117,1.0,0.8571428571428571
170000,-7.757374721684682,100.87044942762321,0.9,0.1,0.01,99.96,2.1590652054431847,1.5486258661746979,0.9231351044719674,0.03636454581832733,0.006202480992396959,1.0,0.8901098901098901
180000,-2.0805501012309833,90.98658285923446,0.92,0.08,0.0,101.2,2.1501068896532525,1.557160523533821,0.9524656124263123,0.03394268774703557,0.0067193675889328066,1.0,0.9120879120879121
190000,-0.4950207756440068,89.31612647838227,0.92,0.08,0.01,101.12,2.1553615726088173,1.560974764227867,0.9508611007113441,0.029272151898734177,0.0026206487341772153,1.0,0.9120879120879121
200000,-3.720994951527573,95.02735746340593,0.91,0.09,0.0,100.58,2.1372752216260413,1.5515197277069093,0.9507811029550159,0.033406243786040964,0.005170013919268244,1.0,0.9010989010989011
