global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,over_avoidance_rate,extreme_avoidance_rate,empty_success_rate,obstacle_success_rate
0,-416.03760989461097,80.71084114170756,0.0,0.74,0.28,73.88,2.663775162754173,2.05307618021965,0.26604153750774956,0.48017054683270166,0.4128992961559285,0.5696399566865187,0.014144558743909042,0.0,0.0
10000,9.927255615703762,83.91300837513855,0.83,0.17,0.0,95.31,2.181662617144175,3.4905310475826266,0.91663477484373,0.024603924037351798,0.002623019620186759,0.07512328192214877,0.0009442870632672333,1.0,0.8131868131868132
20000,44.22574258133991,47.919437589879266,0.93,0.07,0.0,98.21,2.271806538584642,3.5363669419288635,0.9621513944223108,0.029732206496283473,0.008553100498930863,0.04042358211994705,0.0013236941248345381,1.0,0.9230769230769231
30000,35.21636542150023,61.4972771384883,0.89,0.11,0.0,98.1,2.283134874284442,3.418181474208832,0.9544097524567733,0.025688073394495414,0.007033639143730887,0.05489296636085627,0.0013251783893985728,1.0,0.8791208791208791
40000,30.235380698640075,67.52088186101847,0.83,0.13,0.0,97.75,2.2433313325734345,3.425573716163635,0.952680014923517,0.026138107416879795,0.007314578005115089,0.04757033248081841,0.001227621483375959,1.0,0.8131868131868132
50000,52.98808667198304,38.669639961304114,0.96,0.04,0.0,100.27,2.302764748992413,3.4982847452163695,0.9657480075439557,0.022439413583325022,0.005285728532961005,0.03605265782387554,0.0011967687244440013,1.0,0.9560439560439561
60000,59.750106751848946,17.987364346039904,1.0,0.0,0.0,100.69,2.3012200027704237,3.4850816202163695,0.9721919302071974,0.01847253947760453,0.003922931770781607,0.027460522395471247,0.0015393782898003774,1.0,1.0
70000,62.71072429013002,11.978831776525972,1.0,0.0,0.0,100.15,2.3006545549631117,3.5485201406478883,0.9742164110710576,0.012980529206190713,0.0014977533699450823,0.024063904143784322,0.001198202695956066,1.0,1.0
80000,64.1358592833206,8.77373658574877,1.0,0.0,0.0,100.43,2.2691066828370094,3.5553099632263185,0.9830157667255128,0.016130638255501345,0.002887583391416907,0.018221646918251518,0.0011948620930000995,1.0,1.0
90000,63.49737548994395,8.358179168791843,1.0,0.0,0.0,100.18,2.289107989668846,3.6094878244400026,0.97735595703125,0.014374126572170094,0.0022958674386105013,0.022858854062687162,0.0017468556598123379,1.0,1.0
100000,62.79473662968725,8.43838425949198,1.0,0.0,0.0,100.23,2.296963465213776,3.572460505962372,0.9732219104550446,0.01656190761249127,0.0031926568891549436,0.025241943529881274,0.0012471315973261498,1.0,1.0
110000,61.69052427649498,9.158527643800964,1.0,0.0,0.0,100.36,2.308962729871273,3.5569678211212157,0.9651120311738919,0.013949780789159028,0.0014447987245914708,0.03412714228776405,0.0011956954962136308,1.0,1.0
120000,65.06382746826887,6.6301403862883435,1.0,0.0,0.0,100.26,2.2741837760806085,3.580980875492096,0.9838463882962512,0.012168362258128866,0.0006483143826052265,0.01770396967883503,0.0011968880909634949,1.0,1.0
130000,65.79017105103674,6.487181905394009,1.0,0.0,0.0,100.24,2.2650275775790214,3.4759364891052247,0.9869472400121988,0.01137270550678372,0.00024940143655227453,0.015363128491620111,0.0014964086193136473,1.0,1.0
140000,65.55295706488701,6.938662642648805,1.0,0.0,0.0,100.3,2.28546640753746,3.4807795667648316,0.9851273924174083,0.012761714855433698,0.0006480558325024925,0.016400797607178465,0.0014955134596211367,1.0,1.0
150000,66.0470547468192,6.429767663209603,1.0,0.0,0.0,100.25,2.274107272028923,3.492952961921692,0.9888360175695461,0.011770573566084788,0.0004987531172069825,0.013067331670822942,0.0014962593516209476,1.0,1.0
160000,66.25595909697208,6.015180872632262,1.0,0.0,0.0,100.24,2.2724045875668524,3.5788479542732237,0.9891410444119082,0.0111731843575419,0.00029928172386272945,0.0111731843575419,0.0011971268954509178,1.0,1.0
170000,65.62638577656122,6.162883272518818,1.0,0.0,0.0,100.22,2.2908704444766044,3.6057533502578734,0.987810081062961,0.011474755537816803,0.000997804829375374,0.01157453602075434,0.0012472560367192177,1.0,1.0
180000,66.16578401910346,6.30682349453432,1.0,0.0,0.0,100.25,2.280557202100754,3.52,0.9903629155230254,0.011471321695760598,0.000598503740648379,0.011172069825436408,0.0014962593516209476,1.0,1.0
190000,66.00854250188219,5.947906046228921,1.0,0.0,0.0,100.24,2.285898046195507,3.6322245383262635,0.9899451553930531,0.01087390263367917,0.0007980845969672786,0.009926177174780526,0.0011971268954509178,1.0,1.0
200000,66.10018660950708,5.984474915112818,1.0,0.0,0.0,100.19,2.2837654814124106,3.6300147008895873,0.9909750594548448,0.011078949995009482,0.0006986725222078052,0.011428286256113385,0.001197724323784809,1.0,1.0
210000,66.73073200478466,5.737679130464868,1.0,0.0,0.0,100.22,2.26618386477232,3.6322245240211486,0.9957332683164696,0.010975853123129115,0.0006984633805627619,0.0077828776691279185,0.001197365795250449,1.0,1.0
220000,66.47377140510129,6.600578945947275,1.0,0.0,0.0,100.23,2.2491922375559805,3.6313945937156675,0.9982936193552319,0.010675446473111843,0.00039908211114436795,0.0124713159732615,0.001197246333433104,1.0,1.0
