global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,empty_success_rate,obstacle_success_rate
0,-37.052190137054716,97.97624867899252,0.7,0.3,0.27,89.92,2.4640536044258625,1.3647966229915618,0.9503290826820239,0.04848754448398576,0.00917482206405694,1.0,0.6703296703296703
10000,-29.405378639853517,104.1168552316047,0.89,0.11,0.03,100.37,2.181890687929699,1.54341939330101,0.8674778971385113,0.06610540998306266,0.015542492776726114,1.0,0.8791208791208791
20000,9.055667307684743,55.586267652266045,0.97,0.03,0.0,104.46,2.2086280454462393,2.1234389221668244,0.8167269439421339,0.05882634501244496,0.012397089795136894,1.0,0.967032967032967
30000,10.435351729315663,65.54870309259591,0.94,0.06,0.0,103.14,2.226592251766415,2.431404017210007,0.797024733047367,0.05623424471592011,0.009404692650765949,1.0,0.9340659340659341
40000,28.710729714206973,33.10839263156257,1.0,0.0,0.0,106.3,2.2743460901267825,2.5364933133125307,0.8258728344033066,0.04186265286923801,0.006726246472248354,1.0,1.0
50000,38.404816829800694,24.83046441258698,1.0,0.0,0.0,105.35,2.265779102370143,2.501612514257431,0.8984662301551709,0.037778832463217844,0.003986710963455149,1.0,1.0
60000,40.299169374242304,22.63006445392899,1.0,0.0,0.0,105.33,2.2626724860072134,2.6787839770317077,0.8910233393177738,0.035222633627646445,0.002563372258615779,1.0,1.0
70000,39.878519226591706,23.030990491183687,1.0,0.0,0.0,105.29,2.249445390999317,2.6518357372283936,0.9121924941641228,0.03580586950327667,0.0024693703105708046,1.0,1.0
80000,40.88392526040331,22.123805474239866,1.0,0.0,0.0,105.34,2.2500015422701836,2.6848158967494964,0.895553164783934,0.03531422061894817,0.002278336814125688,1.0,1.0
90000,39.577336085314386,25.651418659269154,1.0,0.0,0.0,105.19,2.2524568286538122,2.5481268906593324,0.9169811320754717,0.03783629622587698,0.003707576765852267,1.0,1.0
100000,41.057092047228,22.477009262241832,1.0,0.0,0.0,105.29,2.250144393146038,2.5781328225135804,0.9171825930910722,0.036850603096210466,0.0030867128882135055,1.0,1.0
110000,42.6065378974763,22.682462889535717,1.0,0.0,0.0,105.24,2.2515767747163773,2.6283252060413362,0.9212110322522684,0.03582288103382744,0.0032782212086659066,1.0,1.0
120000,43.10618494066119,21.652209850922716,1.0,0.0,0.0,105.24,2.2476990947127344,2.7072557008266447,0.9146012931034483,0.033637400228050174,0.002232991258076777,1.0,1.0
130000,42.36273523249845,23.11998137087558,1.0,0.0,0.0,105.32,2.2485626742243765,2.66433416724205,0.9158744394618834,0.0333270034181542,0.001709077098366882,1.0,1.0
140000,41.227191097412216,25.224240006730422,1.0,0.0,0.0,105.09,2.237541153430939,2.6579971861839295,0.9181670867842996,0.034161195166048146,0.0020934437149110288,1.0,1.0
150000,40.795935703871145,22.934974250658737,1.0,0.0,0.0,105.25,2.242244729399681,2.599553098678589,0.9130512889607473,0.0332541567695962,0.0009026128266033254,1.0,1.0
160000,41.01330265311517,27.267326602390668,1.0,0.0,0.0,105.28,2.2360483193397522,2.710834889411926,0.9197813032177109,0.03286474164133739,0.0010923252279635258,1.0,1.0
170000,42.5558262764258,24.94081424603791,1.0,0.0,0.0,105.22,2.2391112211346624,2.6993448221683503,0.9294117647058824,0.03278844326173731,0.0012355065576886524,1.0,1.0
180000,43.5161070263571,25.221022895988813,1.0,0.0,0.0,105.11,2.2096430069208144,2.655647715330124,0.9513182758930981,0.03367900294929122,0.001617353248977262,1.0,1.0
190000,42.04695429152973,25.33373020610834,1.0,0.0,0.0,105.38,2.2387645485252143,2.705844465494156,0.935486757337151,0.03311823875498197,0.001708104004554944,1.0,1.0
200000,40.274366909724485,39.72302017555881,0.99,0.01,0.0,104.88,2.2069427843578158,2.9048702800273896,0.9310592459605027,0.03461098398169336,0.0017162471395881006,1.0,0.989010989010989
