global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
10000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
20000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
30000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
40000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
50000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
60000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
70000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
80000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
90000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
100000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
110000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
120000,69.93914303044414,18.86189182416124,0.99,0.01,100.93,0.4416928088059649,2.94
