global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
0,-192.2191335095465,43.371426701596405,0.11,0.89,68.26,0.007771260790832457,3.948003249168396
10000,-39.85628130535028,66.78986875438758,0.11,0.08,122.21,0.6045408866833896,2.3763688361644744
20000,-28.180652348478763,63.2374259325826,0.36,0.11,114.18,0.6675708402658347,2.2420860111713408
30000,-11.66117210678749,70.22047083788468,0.52,0.12,109.95,0.48977066559833476,2.427244168519974
40000,23.38577824713473,44.06491810496765,0.97,0.03,100.35,0.5249333334399853,2.5032891488075255
50000,31.208037234654693,53.37843518901029,0.95,0.05,100.22,0.5156173993655829,2.6709636187553407
60000,36.01125913339871,40.413573812191856,0.98,0.02,100.75,0.5222494657861535,2.659969470500946
70000,38.01817254925627,26.144482637406124,0.99,0.01,101.09,0.5405677867832128,2.5866723704338073
80000,44.1384723906318,11.800640543423151,1.0,0.0,101.7,0.5999520549178123,2.5540724992752075
90000,46.00260621110261,11.751659026242962,1.0,0.0,101.82,0.5861106398701668,2.5940081024169923
100000,48.7154608635747,9.600789265739511,1.0,0.0,101.54,0.6230579751729965,2.609913663864136
110000,45.689073516171774,11.098162285349716,1.0,0.0,102.31,0.723888655602932,2.4470227909088136
120000,47.94008250818486,9.647650134794143,1.0,0.0,101.54,0.6037012103199959,2.6113428807258607
