global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
0,-207.77360953600146,51.27046555305778,0.0,0.37,109.12,0.9459115428765653,0.9929254871606826
10000,-67.3546475633746,77.14842477829798,0.01,0.17,119.12,0.5499849750366991,2.463300566673279
20000,-27.018721326286105,91.15785034814068,0.5,0.31,99.78,0.5405790373519994,2.8630808544158937
30000,-33.6333487254208,73.87259709798302,0.41,0.2,107.02,0.49937556285993195,2.577084197998047
40000,-15.789238693010994,73.06804741942187,0.58,0.12,109.26,0.5124324403586797,2.4505461585521697
50000,-10.683996616466612,82.38026372339975,0.72,0.15,106.35,0.5162768622935983,2.8064424669742585
60000,16.29751799562091,59.57605556118876,0.95,0.05,100.14,0.5754164972528816,2.6309020709991455
70000,31.44541470492375,32.70059604939296,1.0,0.0,101.31,0.6104452971555293,2.6560436606407167
80000,33.90973646803006,28.002232514016047,1.0,0.0,101.44,0.6231662103720009,2.5182666015625
90000,39.78223846588197,16.921770776864868,1.0,0.0,101.43,0.6457922556996345,2.619790871143341
100000,42.54420110757739,10.854423351358513,1.0,0.0,101.55,0.650792143046856,2.642729182243347
110000,45.240031186615234,11.691000775111133,1.0,0.0,101.63,0.6105879685282707,2.637409064769745
120000,44.97392585206646,11.714610745007802,1.0,0.0,101.77,0.6369242334365844,2.5906044483184814
