episode,global_step,length,return,success,collision,pair_collision,epsilon,box_length,box_width,blocked_lane,actor_loss,critic_loss
1,70,70,-204.255693,0,0,1,0.099837,0.8438,0.9703,go2_3,nan,nan
2,200,130,-165.535851,0,0,0,0.099533,1.1423,0.8041,go2_3,nan,nan
3,330,130,-228.896723,0,0,0,0.099230,0.8332,1.1656,go2_2,-11.062016,147.214775
4,460,130,-116.964503,0,0,0,0.098927,1.0299,1.0425,go2_2,-13.505116,29.763404
5,553,93,-177.858421,0,0,1,0.098710,1.1808,1.1261,go2_3,-10.578670,35.618017
6,647,94,-200.417142,0,0,1,0.098490,0.9563,1.0190,go2_3,-11.808290,114.499523
7,777,130,-124.796540,0,0,0,0.098187,0.8359,0.8993,go2_3,-12.033560,14.293995
8,861,84,-209.792362,0,0,1,0.097991,1.0678,1.0667,go2_3,-10.831367,12.185225
9,991,130,-107.724466,0,0,0,0.097688,0.9327,1.1977,go2_3,-12.108221,82.418011
10,1121,130,-157.581995,0,0,0,0.097384,0.9154,1.1445,go2_2,-10.538496,75.792824
11,1251,130,-130.727806,0,0,0,0.097081,0.9979,0.9272,go2_3,-10.424126,13.113245
12,1346,95,-221.589503,0,1,0,0.096859,0.9316,0.9167,go2_3,-10.249811,11.741210
13,1476,130,-124.766019,0,0,0,0.096556,1.0259,0.8298,go2_2,-8.724961,41.269909
14,1559,83,-177.955459,0,1,0,0.096362,1.0720,1.1764,go2_3,-6.696039,64.600464
15,1689,130,-63.478626,0,0,0,0.096059,1.0355,0.9561,go2_2,-8.640306,68.860146
16,1819,130,-152.642973,0,0,0,0.095756,1.1263,0.8633,go2_2,-9.279509,13.803224
17,1949,130,-20.821873,0,0,0,0.095452,1.0749,0.8986,go2_2,-8.004328,10.810367
18,2045,96,-213.918187,0,1,0,0.095228,1.1271,0.9778,go2_2,-7.202270,8.649189
19,2175,130,-87.116050,0,0,0,0.094925,0.9329,1.1684,go2_3,-5.843951,16.754689
20,2305,130,-61.717189,0,0,0,0.094622,0.9065,0.8856,go2_2,-6.243011,10.986039
21,2404,99,-199.304875,0,1,0,0.094391,1.0861,0.9854,go2_2,-4.497930,78.782860
22,2534,130,-92.629019,0,0,0,0.094087,0.8953,0.8326,go2_3,-6.784698,10.807587
23,2664,130,-106.483817,0,0,0,0.093784,0.8577,1.1398,go2_2,-5.276269,14.672441
