global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
0,-243.5043405879382,53.80127072487174,0.0,0.72,79.21,0.5016812713790568,2.741322238445282
10000,-13.428823385079305,60.85616867956394,0.4,0.08,113.45,0.5942991451753187,2.761638035774231
20000,-9.84197584731588,65.24520368163577,0.4,0.08,113.87,0.573415869595483,2.519592214822769
30000,-10.231142720350835,59.93858120655901,0.43,0.06,114.2,0.6119637409143616,2.4027433967590333
40000,41.100788855853786,19.330234262987,1.0,0.0,103.35,0.6317338740825653,2.6960105156898497
50000,38.203013587555176,30.965708738517048,1.0,0.0,101.5,0.5883533162623644,2.684315712451935
60000,42.15798172498995,22.54390672350934,1.0,0.0,101.48,0.5937505119293928,2.6389523220062254
70000,35.8673538061708,29.54595491723388,1.0,0.0,101.34,0.5933691091835499,2.6382984256744386
80000,38.259299013739366,26.421329398422095,1.0,0.0,101.24,0.548510226458311,2.5842609655857087
90000,46.67233909353006,14.9297004088307,1.0,0.0,101.71,0.6130426207184791,2.826742262840271
100000,45.54465946703054,17.49783183576212,1.0,0.0,101.57,0.5862441742420197,2.798005471229553
110000,44.61461056928616,18.005987162113044,1.0,0.0,101.68,0.5959077903628349,2.791856689453125
120000,45.24213933487015,19.49694956695598,1.0,0.0,101.84,0.5919108363986015,2.735759596824646
