episode,global_step,length,return,success,collision,pair_collision,epsilon,box_length,box_width,blocked_lane,actor_loss,critic_loss
1,130,130,-112.667004,0,0,0,0.099697,0.8438,0.9703,go2_3,nan,nan
2,260,130,-112.974184,0,0,0,0.099393,1.1423,0.8041,go2_3,-10.087247,62.068094
3,390,130,-136.122858,0,0,0,0.099090,0.8332,1.1656,go2_2,-10.981315,38.667939
4,520,130,-133.893692,0,0,0,0.098787,1.0299,1.0425,go2_2,-11.437145,21.336670
5,650,130,-102.493751,0,0,0,0.098483,1.1808,1.1261,go2_3,-10.885740,23.181600
6,780,130,-103.145396,0,0,0,0.098180,0.9563,1.0190,go2_3,-11.512868,9.395214
7,910,130,-77.730403,0,0,0,0.097877,0.8359,0.8993,go2_3,-11.587608,8.190395
8,1040,130,-115.123248,0,0,0,0.097573,1.0678,1.0667,go2_3,-9.931606,5.586110
9,1170,130,-98.095742,0,0,0,0.097270,0.9327,1.1977,go2_3,-10.221955,4.164433
10,1300,130,-112.465298,0,0,0,0.096967,0.9154,1.1445,go2_2,-8.945602,6.073827
11,1430,130,-91.208814,0,0,0,0.096663,0.9979,0.9272,go2_3,-8.291238,5.616970
12,1560,130,-75.818217,0,0,0,0.096360,0.9316,0.9167,go2_3,-8.666083,3.912115
13,1690,130,-213.920273,0,0,0,0.096057,1.0259,0.8298,go2_2,-7.932248,4.646240
14,1820,130,-72.433972,0,0,0,0.095753,1.0720,1.1764,go2_3,-7.685743,4.320475
15,1950,130,-111.231016,0,0,0,0.095450,1.0355,0.9561,go2_2,-6.775955,4.478591
16,2080,130,-338.575045,0,0,0,0.095147,1.1263,0.8633,go2_2,-6.406631,9.529667
17,2210,130,-61.464531,0,0,0,0.094843,1.0749,0.8986,go2_2,-5.167873,5.495884
18,2340,130,-215.441293,0,0,0,0.094540,1.1271,0.9778,go2_2,-5.964907,4.972233
19,2470,130,-126.720366,0,0,0,0.094237,0.9329,1.1684,go2_3,-4.649223,5.302052
20,2600,130,-43.793508,0,0,0,0.093933,0.9065,0.8856,go2_2,-3.902658,6.055489
21,2730,130,-126.656595,0,0,0,0.093630,1.0861,0.9854,go2_2,-3.981156,5.282635
22,2860,130,-83.337895,0,0,0,0.093327,0.8953,0.8326,go2_3,-4.005392,6.270378
23,2990,130,-45.409696,0,0,0,0.093023,0.8577,1.1398,go2_2,-3.777969,4.894407
24,3120,130,-49.178482,0,0,0,0.092720,0.8507,1.0008,go2_2,-3.887957,4.539128
25,3250,130,-57.153662,0,0,0,0.092417,0.8507,0.8760,go2_2,-2.606151,5.401936
26,3380,130,-73.169468,0,0,0,0.092113,0.8674,0.9104,go2_3,-2.322413,5.345702
27,3510,130,-291.797859,0,0,0,0.091810,1.1808,1.0275,go2_2,-3.203572,6.117902
28,3640,130,-54.096097,0,0,0,0.091507,0.8006,0.8097,go2_2,-1.871011,8.343163
29,3770,130,-92.184703,0,0,0,0.091203,0.9896,1.0650,go2_2,-1.212910,9.168934
30,3900,130,-73.589933,0,0,0,0.090900,0.9217,0.9853,go2_2,-1.413745,6.744003
31,4030,130,-107.533420,0,0,0,0.090597,0.9423,0.8592,go2_3,-0.184568,7.558108
32,4160,130,-30.255046,0,0,0,0.090293,1.0912,0.8446,go2_3,-0.781275,4.521821
33,4290,130,-59.657172,0,0,0,0.089990,1.0586,0.8319,go2_2,-1.547671,6.098794
34,4420,130,-54.492055,0,0,0,0.089687,1.1007,1.0882,go2_2,-0.454000,5.787103
35,4550,130,-24.246320,0,0,0,0.089383,1.0286,0.9906,go2_2,-0.274930,4.414750
36,4680,130,-23.963236,0,0,0,0.089080,0.8267,0.8493,go2_2,-1.374290,4.195275
37,4810,130,-123.175678,0,0,0,0.088777,1.1638,1.1593,go2_2,0.551951,7.500596
38,4940,130,-45.250030,0,0,0,0.088473,1.0178,0.8894,go2_3,0.707190,6.335445
39,5070,130,-57.321655,0,0,0,0.088170,0.9047,1.0807,go2_3,-0.967380,4.640670
