episode,global_step,length,return,success,collision,pair_collision,epsilon,box_length,box_width,blocked_lane,actor_loss,critic_loss
40,5200,130,-110.799383,0,0,0,0.087867,1.1143,1.0752,go2_2,0.588472,5.707409
41,5330,130,-106.476385,0,0,0,0.087563,1.1794,0.9455,go2_2,0.130406,4.814203
42,5460,130,-49.874441,0,0,0,0.087260,1.1384,1.0425,go2_3,1.783874,5.874060
43,5590,130,-106.760129,0,0,0,0.086957,0.8067,1.1654,go2_2,2.064950,6.986984
44,5720,130,-30.462332,0,0,0,0.086653,1.1673,1.1384,go2_3,1.630431,9.581483
45,5850,130,-44.661909,0,0,0,0.086350,0.9699,1.1059,go2_3,2.100493,7.774885
46,5980,130,-59.736328,0,0,0,0.086047,0.8456,0.9508,go2_3,2.080864,6.999661
47,6110,130,-60.910030,0,0,0,0.085743,0.9203,0.9020,go2_2,0.781869,9.180994
48,6240,130,-69.212925,0,0,0,0.085440,0.9745,0.8249,go2_3,0.830559,6.165120
49,6370,130,-30.577024,0,0,0,0.085137,0.9923,0.9758,go2_3,2.015531,6.994210
50,6500,130,-45.417129,0,0,0,0.084833,0.8803,1.0943,go2_2,1.770482,5.256190
51,6630,130,-53.554362,0,0,0,0.084530,0.9378,0.8369,go2_2,2.170344,7.202246
52,6760,130,-33.494257,0,0,0,0.084227,0.9985,1.1830,go2_2,3.023198,6.014262
53,6890,130,-44.610721,0,0,0,0.083923,1.0032,0.9086,go2_2,2.188943,6.810965
54,7020,130,-83.063598,0,0,0,0.083620,0.9591,1.1011,go2_2,2.042866,3.558633
55,7150,130,-76.484914,0,0,0,0.083317,0.9934,1.1463,go2_3,2.012727,4.193742
56,7280,130,-169.037292,0,0,0,0.083013,1.0002,1.0817,go2_3,2.307270,3.964113
57,7410,130,-106.533008,0,0,0,0.082710,1.1858,1.1213,go2_3,3.301808,7.388215
58,7540,130,-70.859514,0,0,0,0.082407,0.9283,0.9751,go2_3,3.506952,3.889090
59,7670,130,-143.693404,0,0,0,0.082103,0.9921,1.1686,go2_2,3.554200,4.273578
60,7800,130,-52.839757,0,0,0,0.081800,1.0649,1.1050,go2_2,2.675033,4.976021
61,7930,130,-43.287399,0,0,0,0.081497,1.1670,0.8453,go2_2,2.316257,3.734918
62,8060,130,-67.052099,0,0,0,0.081193,1.1322,0.9975,go2_3,3.891290,3.674616
63,8190,130,-22.916081,0,0,0,0.080890,1.1320,1.1898,go2_3,3.327489,3.637936
64,8320,130,-49.101364,0,0,0,0.080587,0.8700,0.9287,go2_3,2.913113,3.074858
65,8450,130,-158.324229,0,0,0,0.080283,0.9017,1.0204,go2_3,3.447675,3.959904
66,8580,130,-131.346325,0,0,0,0.079980,0.9718,0.8395,go2_3,3.721985,4.302982
67,8710,130,-104.437147,0,0,0,0.079677,1.1308,1.1615,go2_3,5.271482,5.703635
68,8840,130,-89.246155,0,0,0,0.079373,1.0064,0.8377,go2_2,4.589084,4.339799
69,8970,130,-30.550935,0,0,0,0.079070,1.1053,1.1880,go2_3,3.249582,3.499025
70,9100,130,-33.392577,0,0,0,0.078767,1.0642,0.8176,go2_2,4.559131,4.571584
71,9230,130,-194.278097,0,0,0,0.078463,0.9055,0.8417,go2_3,3.876623,5.397286
72,9360,130,-50.581774,0,0,0,0.078160,0.8564,0.9866,go2_3,4.789028,6.275323
73,9490,130,-176.627121,0,0,0,0.077857,0.8380,0.9640,go2_2,5.155042,4.558591
74,9620,130,-125.310853,0,0,0,0.077553,1.0319,1.0460,go2_2,5.043604,4.720670
75,9750,130,-38.782534,0,0,0,0.077250,1.1780,0.9310,go2_3,5.027752,4.761578
76,9880,130,-85.156030,0,0,0,0.076947,1.1381,1.1511,go2_2,4.706713,5.157179
