global_step,episode,length,reward,success,collision,epsilon,temperature
65,1,65,-313.72379985498264,0.0,1.0,0.19981583333333333,0.9991875
122,2,57,-255.29239888861775,0.0,1.0,0.19965433333333335,0.998475
183,3,61,-288.84420613991097,0.0,1.0,0.1994815,0.9977125
250,4,67,-340.4474560730159,0.0,1.0,0.19929166666666667,0.996875
308,5,58,-327.59194605425,0.0,1.0,0.19912733333333335,0.99615
370,6,62,-291.1690265275538,0.0,1.0,0.19895166666666667,0.995375
428,7,58,-264.0006564334035,0.0,1.0,0.19878733333333334,0.99465
502,8,74,-315.9698212184012,0.0,1.0,0.19857766666666668,0.993725
579,9,77,-318.5883559808135,0.0,1.0,0.19835950000000002,0.9927625
642,10,63,-301.5376035911031,0.0,1.0,0.19818100000000002,0.991975
714,11,72,-388.39533794671297,0.0,1.0,0.19797700000000001,0.991075
781,12,67,-337.56237695738673,0.0,1.0,0.19778716666666668,0.9902375
841,13,60,-322.0619415831752,0.0,1.0,0.19761716666666668,0.9894875
911,14,70,-341.27858797088265,0.0,1.0,0.19741883333333335,0.9886125
982,15,71,-364.0654512383044,0.0,1.0,0.19721766666666668,0.987725
1050,16,68,-344.99185908958316,0.0,1.0,0.197025,0.986875
1115,17,65,-359.8075622394681,0.0,1.0,0.19684083333333335,0.9860625
1184,18,69,-318.6489269733429,0.0,1.0,0.19664533333333334,0.9852
1259,19,75,-335.90865372493863,0.0,1.0,0.19643283333333333,0.9842625
1320,20,61,-299.2379995658994,0.0,1.0,0.19626000000000002,0.9835
1393,21,73,-317.45144237205386,0.0,1.0,0.19605316666666667,0.9825875
1466,22,73,-344.24793704270996,0.0,1.0,0.19584633333333334,0.981675
1534,23,68,-273.73049134761095,0.0,1.0,0.19565366666666667,0.980825
1606,24,72,-316.27113001793623,0.0,1.0,0.1954496666666667,0.979925
1667,25,61,-329.2451456710696,0.0,1.0,0.19527683333333334,0.9791625
1720,26,53,-259.3365855515003,0.0,1.0,0.19512666666666667,0.9785
1792,27,72,-392.6259756758809,0.0,1.0,0.1949226666666667,0.9776
1858,28,66,-345.1257551982999,0.0,1.0,0.19473566666666667,0.976775
1915,29,57,-281.49898794293404,0.0,1.0,0.1945741666666667,0.9760625
1972,30,57,-306.92919035719706,0.0,1.0,0.19441266666666668,0.97535
2086,31,114,-130.21908302232623,1.0,0.0,0.1940896666666667,0.973925
2211,32,125,-27.2251835023053,1.0,0.0,0.1937355,0.9723625
2325,33,114,-42.00036845775321,1.0,0.0,0.19341250000000001,0.9709375
2438,34,113,-33.59185789525509,1.0,0.0,0.19309233333333334,0.969525
2548,35,110,-81.06574906455353,1.0,0.0,0.19278066666666668,0.96815
2655,36,107,13.13804557453841,1.0,0.0,0.19247750000000002,0.9668125
2769,37,114,-43.02670235419646,1.0,0.0,0.1921545,0.9653875
2874,38,105,-127.72313176468015,1.0,0.0,0.191857,0.964075
2978,39,104,-14.980177778750658,1.0,0.0,0.19156233333333333,0.962775
3052,40,74,-272.04038248956203,0.0,1.0,0.19135266666666667,0.96185
3154,41,102,-20.500741042662412,1.0,0.0,0.1910636666666667,0.960575
3269,42,115,4.176486764103174,1.0,0.0,0.19073783333333336,0.9591375
3379,43,110,-54.14685223484412,1.0,0.0,0.19042616666666667,0.9577625
3494,44,115,-21.312158138025552,1.0,0.0,0.19010033333333334,0.956325
3608,45,114,-101.06603066297248,1.0,0.0,0.18977733333333335,0.9549
3706,46,98,-112.0390237015672,1.0,0.0,0.18949966666666668,0.953675
3827,47,121,-71.66078648110852,1.0,0.0,0.18915683333333333,0.9521625
3951,48,124,1.5765092000365257,1.0,0.0,0.18880550000000001,0.9506125
4066,49,115,0.007113015279173851,1.0,0.0,0.18847966666666668,0.949175
4190,50,124,-15.130556367337704,1.0,0.0,0.18812833333333334,0.947625
4303,51,113,-42.19549192208797,1.0,0.0,0.18780816666666666,0.9462125
4415,52,112,-81.50954894348979,1.0,0.0,0.18749083333333333,0.9448125
4515,53,100,-78.9241722789593,1.0,0.0,0.1872075,0.9435625
4622,54,107,-89.43814649432898,1.0,0.0,0.18690433333333334,0.942225
4735,55,113,-88.60789697244763,1.0,0.0,0.1865841666666667,0.9408125
4864,56,129,-103.37842490524054,1.0,0.0,0.18621866666666667,0.9392
4969,57,105,-23.876139596570283,1.0,0.0,0.18592116666666667,0.9378875
5085,58,116,-16.22666833177209,1.0,0.0,0.18559250000000002,0.9364375
5190,59,105,2.486904662102461,1.0,0.0,0.18529500000000002,0.935125
5293,60,103,-94.62927837716416,1.0,0.0,0.18500316666666666,0.9338375
5361,61,68,-239.4082035953179,0.0,1.0,0.18481050000000002,0.9329875
5470,62,109,4.571993495337665,1.0,0.0,0.18450166666666667,0.931625
5581,63,111,-7.178188048768789,1.0,0.0,0.18418716666666668,0.9302375
5687,64,106,8.084034647792578,1.0,0.0,0.18388683333333333,0.9289125
5796,65,109,14.86359267262742,1.0,0.0,0.18357800000000002,0.92755
5900,66,104,-73.80672453387524,1.0,0.0,0.18328333333333335,0.92625
6004,67,104,-12.298796378076077,1.0,0.0,0.1829886666666667,0.9249499999999999
6121,68,117,-92.53681232780218,1.0,0.0,0.18265716666666668,0.9234875
6234,69,113,-34.016008296981454,1.0,0.0,0.182337,0.922075
6340,70,106,-45.28296687314287,1.0,0.0,0.18203666666666668,0.92075
6456,71,116,-35.43056403892115,1.0,0.0,0.181708,0.9193
6572,72,116,-51.0294526219368,1.0,0.0,0.18137933333333334,0.91785
6687,73,115,-12.85330086806789,1.0,0.0,0.1810535,0.9164125
6795,74,108,-72.19933234527707,1.0,0.0,0.1807475,0.9150625
6904,75,109,-16.397609882056713,1.0,0.0,0.1804386666666667,0.9137
7009,76,105,-16.733500957489014,1.0,0.0,0.18014116666666669,0.9123875
7127,77,118,-19.572695151902735,1.0,0.0,0.17980683333333333,0.9109125
7239,78,112,-73.84637261927128,1.0,0.0,0.17948950000000002,0.9095125
7313,79,74,-217.9989235913381,0.0,1.0,0.17927983333333333,0.9085875
7420,80,107,-16.764955397695303,1.0,0.0,0.17897666666666667,0.90725
7531,81,111,-70.68851262005046,1.0,0.0,0.17866216666666668,0.9058625
7642,82,111,-59.710662831086665,1.0,0.0,0.17834766666666668,0.904475
7750,83,108,-16.605761490762234,1.0,0.0,0.17804166666666668,0.903125
7858,84,108,-39.46746587008238,1.0,0.0,0.17773566666666668,0.901775
7968,85,110,5.2820371789857745,1.0,0.0,0.177424,0.9004
8078,86,110,-17.86771678319201,1.0,0.0,0.17711233333333334,0.899025
8150,87,72,-238.24267047271132,0.0,1.0,0.17690833333333333,0.8981250000000001
8261,88,111,-29.861949295271188,1.0,0.0,0.17659383333333334,0.8967375
8375,89,114,-35.8359902612865,1.0,0.0,0.17627083333333335,0.8953125
8492,90,117,-5.389362917281687,1.0,0.0,0.17593933333333334,0.89385
8560,91,68,-147.25820314139128,0.0,1.0,0.17574666666666666,0.893
8624,92,64,-194.46141289919615,0.0,1.0,0.17556533333333335,0.8922
8754,93,130,-50.816188622266054,0.0,0.0,0.17519700000000002,0.890575
8863,94,109,-77.28011892409995,1.0,0.0,0.17488816666666668,0.8892125
8971,95,108,-3.256312605459243,1.0,0.0,0.17458216666666668,0.8878625
9076,96,105,-59.5377098582685,1.0,0.0,0.17428466666666667,0.88655
9177,97,101,-48.85574809694663,1.0,0.0,0.1739985,0.8852875
9291,98,114,18.770036424975842,1.0,0.0,0.1736755,0.8838625
9394,99,103,-32.57725575938821,1.0,0.0,0.17338366666666669,0.882575
9511,100,117,-25.221238270401955,1.0,0.0,0.17305216666666667,0.8811125
9628,101,117,-66.18894217954949,1.0,0.0,0.1727206666666667,0.87965
9743,102,115,-19.890291150659323,1.0,0.0,0.17239483333333333,0.8782125000000001
9858,103,115,-0.8270300086587667,1.0,0.0,0.172069,0.876775
9963,104,105,-76.56681640446186,1.0,0.0,0.17177150000000002,0.8754625
10069,105,106,-88.25144873559475,1.0,0.0,0.17147116666666667,0.8741375
10194,106,125,-25.626878645736724,1.0,0.0,0.17111700000000002,0.872575
10301,107,107,-65.96511001186445,1.0,0.0,0.17081383333333333,0.8712375
10415,108,114,-47.24820160167292,1.0,0.0,0.17049083333333334,0.8698125
10532,109,117,-99.84982116194442,1.0,0.0,0.17015933333333333,0.86835
10641,110,109,-70.671580565162,1.0,0.0,0.16985050000000002,0.8669875
10755,111,114,-87.14944925205782,1.0,0.0,0.1695275,0.8655625
10869,112,114,0.5082711605355144,1.0,0.0,0.1692045,0.8641375
10979,113,110,-78.76188761834055,1.0,0.0,0.16889283333333335,0.8627625
11084,114,105,16.074230957776308,1.0,0.0,0.16859533333333335,0.86145
11149,115,65,-173.9837965243496,0.0,1.0,0.16841116666666667,0.8606374999999999
11265,116,116,-3.517784607131034,1.0,0.0,0.16808250000000002,0.8591875
11383,117,118,-34.9479851317592,1.0,0.0,0.16774816666666667,0.8577125
11482,118,99,-50.57918073562905,1.0,0.0,0.16746766666666668,0.856475
11583,119,101,1.2043915055692196,1.0,0.0,0.1671815,0.8552124999999999
11684,120,101,-1.0237410375848413,1.0,0.0,0.16689533333333334,0.85395
11796,121,112,8.195014617871493,1.0,0.0,0.166578,0.85255
11906,122,110,-95.58051189687103,1.0,0.0,0.16626633333333335,0.851175
12021,123,115,-25.74424008326605,1.0,0.0,0.16594050000000002,0.8497375
12136,124,115,-7.879330907482654,1.0,0.0,0.1656146666666667,0.8483
12247,125,111,-81.92042559571564,1.0,0.0,0.16530016666666666,0.8469125
12354,126,107,-72.56454610498622,1.0,0.0,0.164997,0.845575
12469,127,115,-24.792917642742395,1.0,0.0,0.16467116666666667,0.8441375
12583,128,114,-16.596118416637182,1.0,0.0,0.16434816666666668,0.8427125
12700,129,117,-36.269238620996475,1.0,0.0,0.16401666666666667,0.84125
12799,130,99,-52.50997870834544,1.0,0.0,0.16373616666666668,0.8400125
12910,131,111,-69.3613006696105,1.0,0.0,0.1634216666666667,0.838625
13020,132,110,5.882957575377077,1.0,0.0,0.16311,0.83725
13126,133,106,-10.391541798133403,1.0,0.0,0.16280966666666669,0.835925
13243,134,117,-9.586412973701954,1.0,0.0,0.16247816666666667,0.8344625
13353,135,110,-106.15303846076131,1.0,0.0,0.16216650000000002,0.8330875
13465,136,112,-77.64892680803314,1.0,0.0,0.16184916666666668,0.8316875
13582,137,117,-76.7234141943045,1.0,0.0,0.16151766666666667,0.830225
13687,138,105,-23.135939985513687,1.0,0.0,0.16122016666666666,0.8289124999999999
13800,139,113,-4.366245098412037,1.0,0.0,0.16090000000000002,0.8275
13899,140,99,4.503884598612785,1.0,0.0,0.16061950000000003,0.8262625
14006,141,107,-12.124513376504183,1.0,0.0,0.16031633333333334,0.824925
14119,142,113,15.194667607545853,1.0,0.0,0.15999616666666666,0.8235125
14240,143,121,-41.17664831131697,1.0,0.0,0.15965333333333334,0.8220000000000001
14360,144,120,-33.65398274362087,1.0,0.0,0.15931333333333333,0.8205
14429,145,69,-225.25780072063208,0.0,1.0,0.15911783333333335,0.8196375
14491,146,62,-166.2844328568317,0.0,1.0,0.15894216666666666,0.8188625
14598,147,107,-40.85637914761901,1.0,0.0,0.158639,0.8175250000000001
14708,148,110,-74.43341977521777,1.0,0.0,0.15832733333333335,0.8161499999999999
14812,149,104,-45.56609159754589,1.0,0.0,0.15803266666666668,0.81485
14926,150,114,11.675055272877216,1.0,0.0,0.1577096666666667,0.8134250000000001
15034,151,108,9.492242276202887,1.0,0.0,0.15740366666666666,0.812075
15145,152,111,-31.29952310817316,1.0,0.0,0.15708916666666667,0.8106875
15256,153,111,15.133069838862866,1.0,0.0,0.15677466666666667,0.8093
15362,154,106,-15.075063359458,1.0,0.0,0.15647433333333333,0.807975
15473,155,111,14.415503348689526,1.0,0.0,0.15615983333333333,0.8065875
15574,156,101,-0.5359039576724172,1.0,0.0,0.1558736666666667,0.8053250000000001
15686,157,112,11.086236473172903,1.0,0.0,0.15555633333333335,0.803925
15809,158,123,-2.999265764374286,1.0,0.0,0.15520783333333332,0.8023875
15928,159,119,-42.028873682022095,1.0,0.0,0.15487066666666666,0.8009
16039,160,111,-6.406761318910867,1.0,0.0,0.15455616666666666,0.7995125000000001
16141,161,102,0.7611054102890193,1.0,0.0,0.15426716666666668,0.7982374999999999
16250,162,109,11.017431758344173,1.0,0.0,0.15395833333333334,0.796875
16322,163,72,-193.87953381612897,0.0,1.0,0.15375433333333333,0.795975
16429,164,107,18.13540178630501,1.0,0.0,0.1534511666666667,0.7946375
16542,165,113,-86.38252180069685,1.0,0.0,0.15313100000000002,0.7932250000000001
16648,166,106,-86.33305009501055,1.0,0.0,0.15283066666666667,0.7919
16749,167,101,-80.65598717192188,1.0,0.0,0.1525445,0.7906375
16862,168,113,-137.79259228380397,1.0,0.0,0.15222433333333335,0.789225
16964,169,102,-0.08149336511269212,1.0,0.0,0.15193533333333334,0.7879499999999999
17080,170,116,-10.004037875682116,1.0,0.0,0.15160666666666667,0.7865
17194,171,114,-3.9556089118123055,1.0,0.0,0.15128366666666668,0.785075
