global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
0,-2.209336281398282,35.96306634643533,0.99,0.01,106.29,0.48430201822891833,2.24432374894619
10000,0.6396975498941174,32.002427300004484,0.99,0.01,109.76,0.5129716872610152,2.008151355981827
20000,-8.81115324052691,60.01985430311414,0.95,0.05,105.43,0.46734771693591026,2.352474755048752
30000,0.8811633353359138,42.87797056087327,0.98,0.02,106.15,0.495696073952131,2.1618082630634308
40000,2.3415684520831928,41.78237033159842,0.98,0.02,106.1,0.49479844349902125,2.2913509941101076
50000,5.020812680209528,27.944238108157727,1.0,0.0,106.75,0.5079294347763061,2.3127816307544706
60000,2.739420182411741,35.64671180206897,0.99,0.01,106.39,0.48708377772476524,2.356176018714905
70000,0.7823806692909057,40.09790020974315,0.99,0.01,106.39,0.4826004447974265,2.3761487901210785
80000,5.291547067269457,33.492943848995964,0.99,0.01,106.27,0.4952366777649149,2.21489501953125
90000,6.452837176932662,33.151071253788146,0.99,0.01,106.33,0.4889673834433779,2.283703042268753
100000,4.124746936634183,33.969782392664605,0.99,0.01,106.41,0.49042914414429106,2.195391834974289
