global_step,episode,length,reward,success,collision,epsilon,temperature
63,1,63,-360.5127024054527,0.0,1.0,0.1998215,0.9992125
137,2,74,-388.5695288218558,0.0,1.0,0.19961183333333335,0.9982875
267,3,130,-400.4998592659831,0.0,0.0,0.19924350000000002,0.9966625
336,4,69,-395.31335770338774,0.0,1.0,0.199048,0.9958
396,5,60,-386.47971737384796,0.0,1.0,0.198878,0.99505
460,6,64,-380.88394916057587,0.0,1.0,0.1986966666666667,0.99425
533,7,73,-436.4747755229473,0.0,1.0,0.19848983333333334,0.9933375
600,8,67,-413.48801174759865,0.0,1.0,0.1983,0.9925
664,9,64,-342.40772760659456,0.0,1.0,0.19811866666666667,0.9917
724,10,60,-327.3919209726155,0.0,1.0,0.1979486666666667,0.99095
790,11,66,-352.10404907539487,0.0,1.0,0.19776166666666667,0.990125
852,12,62,-375.72687347978354,0.0,1.0,0.197586,0.98935
911,13,59,-378.0292522609234,0.0,1.0,0.19741883333333335,0.9886125
974,14,63,-396.65224426984787,0.0,1.0,0.19724033333333335,0.987825
1043,15,69,-363.2000543922186,0.0,1.0,0.19704483333333334,0.9869625
1101,16,58,-355.84391409903765,0.0,1.0,0.1968805,0.9862375
1164,17,63,-399.57200681464747,0.0,1.0,0.19670200000000002,0.98545
1230,18,66,-379.4131709486246,0.0,1.0,0.19651500000000002,0.984625
1290,19,60,-339.2621905580163,0.0,1.0,0.19634500000000002,0.983875
1347,20,57,-372.5793010890484,0.0,1.0,0.1961835,0.9831625
1405,21,58,-350.80200858414173,0.0,1.0,0.1960191666666667,0.9824375
1463,22,58,-321.5702709555626,0.0,1.0,0.19585483333333334,0.9817125
1593,23,130,-260.2896522991359,0.0,0.0,0.1954865,0.9800875
1649,24,56,-327.68829368054867,0.0,1.0,0.19532783333333334,0.9793875
1721,25,72,-389.2420782633126,0.0,1.0,0.19512383333333333,0.9784875
1798,26,77,-413.313782684505,0.0,1.0,0.19490566666666667,0.977525
1863,27,65,-386.39608338847756,0.0,1.0,0.19472150000000002,0.9767125
1993,28,130,-258.0174642652273,0.0,0.0,0.1943531666666667,0.9750875
2103,29,110,-42.86335080116987,1.0,0.0,0.1940415,0.9737125
2214,30,111,-36.10903173685074,1.0,0.0,0.193727,0.972325
2316,31,102,-69.49429833516479,1.0,0.0,0.193438,0.97105
2378,32,62,-192.99021945893764,0.0,1.0,0.19326233333333334,0.970275
2444,33,66,-202.91572424769402,0.0,1.0,0.19307533333333335,0.96945
2557,34,113,-8.273164309561253,1.0,0.0,0.19275516666666667,0.9680375
2639,35,82,-171.56668189540505,0.0,1.0,0.19252283333333334,0.9670125
2750,36,111,-35.14637177437544,1.0,0.0,0.19220833333333334,0.965625
2857,37,107,-105.21944240480661,1.0,0.0,0.19190516666666668,0.9642875
2979,38,122,-66.78747779130936,1.0,0.0,0.19155950000000002,0.9627625
3087,39,108,-30.542833037674427,1.0,0.0,0.19125350000000002,0.9614125
3203,40,116,-85.4920997992158,1.0,0.0,0.19092483333333335,0.9599625
3320,41,117,-73.30181463523331,1.0,0.0,0.19059333333333334,0.9585
3427,42,107,-32.967864111065865,1.0,0.0,0.19029016666666668,0.9571625
3538,43,111,-68.87821986526251,1.0,0.0,0.18997566666666668,0.955775
3640,44,102,-8.437532380223274,1.0,0.0,0.18968666666666667,0.9545
3753,45,113,-24.441008135676384,1.0,0.0,0.18936650000000002,0.9530875
3862,46,109,-73.63826331496239,1.0,0.0,0.18905766666666668,0.951725
3992,47,130,-105.44933941960335,0.0,0.0,0.18868933333333335,0.9501
4049,48,57,-206.27355527225882,0.0,1.0,0.18852783333333334,0.9493875
4122,49,73,-194.53134627640247,0.0,1.0,0.18832100000000002,0.948475
4240,50,118,-54.59845904260874,1.0,0.0,0.1879866666666667,0.947
4353,51,113,-36.486964624840766,1.0,0.0,0.1876665,0.9455875
4473,52,120,-54.496641997713596,1.0,0.0,0.1873265,0.9440875
4575,53,102,-21.788874593563378,1.0,0.0,0.18703750000000002,0.9428125
4650,54,75,-173.8678047657013,0.0,1.0,0.18682500000000002,0.941875
4760,55,110,-17.91113405674696,1.0,0.0,0.18651333333333334,0.9405
4871,56,111,-111.47406995296478,1.0,0.0,0.18619883333333334,0.9391125
4972,57,101,-51.339638967067,1.0,0.0,0.18591266666666667,0.93785
5093,58,121,-79.84590857150033,1.0,0.0,0.18556983333333335,0.9363375
5181,59,88,14.348120108246803,1.0,0.0,0.1853205,0.9352374999999999
5285,60,104,5.25792284309864,1.0,0.0,0.18502583333333333,0.9339375
5398,61,113,-32.42010096134618,1.0,0.0,0.18470566666666668,0.932525
5513,62,115,-58.68650522828102,1.0,0.0,0.18437983333333335,0.9310875
5623,63,110,-21.05463908240199,1.0,0.0,0.18406816666666667,0.9297124999999999
5734,64,111,-75.02988962829113,1.0,0.0,0.18375366666666668,0.9283250000000001
5842,65,108,-1.3945906199514866,1.0,0.0,0.18344766666666668,0.926975
5953,66,111,-38.94642820954323,1.0,0.0,0.18313316666666668,0.9255875
6062,67,109,-82.15819115191698,1.0,0.0,0.18282433333333334,0.924225
6133,68,71,-156.44880739226937,0.0,1.0,0.18262316666666667,0.9233375
6253,69,120,-22.222853865474463,1.0,0.0,0.18228316666666666,0.9218375
6324,70,71,-179.96950606673636,0.0,1.0,0.18208200000000002,0.92095
6388,71,64,-203.95931950162048,0.0,1.0,0.18190066666666668,0.92015
6493,72,105,-20.931126963794668,1.0,0.0,0.18160316666666668,0.9188375
6611,73,118,-52.79121417272836,1.0,0.0,0.18126883333333335,0.9173625
6720,74,109,-21.405302554834634,1.0,0.0,0.18096,0.916
6785,75,65,-222.35459338873625,0.0,1.0,0.18077583333333336,0.9151875
6891,76,106,-44.42050392925739,1.0,0.0,0.1804755,0.9138625
6998,77,107,-3.101138365454972,1.0,0.0,0.18017233333333335,0.912525
7112,78,114,-48.992908485233784,1.0,0.0,0.17984933333333333,0.9111
7196,79,84,34.88698200881481,1.0,0.0,0.17961133333333335,0.91005
7299,80,103,-8.524266947060823,1.0,0.0,0.17931950000000002,0.9087625
7358,81,59,-193.81087067443877,0.0,1.0,0.17915233333333336,0.908025
7434,82,76,-243.41438074409962,0.0,1.0,0.178937,0.907075
7543,83,109,-34.88601219654083,1.0,0.0,0.17862816666666667,0.9057125
7654,84,111,-83.40038355346769,1.0,0.0,0.17831366666666668,0.904325
7769,85,115,-98.36694733053446,1.0,0.0,0.17798783333333335,0.9028875
7873,86,104,-65.41542860120535,1.0,0.0,0.17769316666666668,0.9015875
7985,87,112,-19.507532116491348,1.0,0.0,0.17737583333333334,0.9001875
8093,88,108,-28.12369321192091,1.0,0.0,0.17706983333333334,0.8988375
8159,89,66,-188.59123099641874,0.0,1.0,0.17688283333333335,0.8980125
8265,90,106,3.1819148883223534,1.0,0.0,0.1765825,0.8966875
8368,91,103,-34.98647532612085,1.0,0.0,0.17629066666666668,0.8954
8472,92,104,-23.370141935069114,1.0,0.0,0.175996,0.8941
8579,93,107,-48.543132960796356,1.0,0.0,0.17569283333333335,0.8927625
8695,94,116,-14.315477900207043,1.0,0.0,0.17536416666666668,0.8913125
8803,95,108,-26.13809922337532,1.0,0.0,0.17505816666666668,0.8899625
8871,96,68,-209.0473878257908,0.0,1.0,0.1748655,0.8891125
8987,97,116,-21.135632414370775,1.0,0.0,0.17453683333333334,0.8876625
9089,98,102,-54.1773938536644,1.0,0.0,0.17424783333333335,0.8863875
9197,99,108,3.475289936643094,1.0,0.0,0.17394183333333335,0.8850375
9312,100,115,-42.43399181077257,1.0,0.0,0.17361600000000002,0.8835999999999999
9419,101,107,-28.791145619470626,1.0,0.0,0.17331283333333333,0.8822625
9520,102,101,-30.634435233165277,1.0,0.0,0.17302666666666666,0.881
9629,103,109,-46.93254838231951,1.0,0.0,0.17271783333333335,0.8796375
9742,104,113,-36.79300905019045,1.0,0.0,0.17239766666666667,0.878225
9852,105,110,-84.41558479517698,1.0,0.0,0.17208600000000002,0.87685
9910,106,58,-246.3214804381132,0.0,1.0,0.17192166666666667,0.876125
9995,107,85,27.70032348483801,1.0,0.0,0.17168083333333334,0.8750625
10105,108,110,-42.65688446909189,1.0,0.0,0.17136916666666668,0.8736875
10209,109,104,-59.85280733555555,1.0,0.0,0.17107450000000002,0.8723875
10322,110,113,-6.587098069489002,1.0,0.0,0.17075433333333334,0.870975
10433,111,111,-33.511541249987204,1.0,0.0,0.17043983333333335,0.8695875
