global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,over_avoidance_rate,extreme_avoidance_rate,empty_success_rate,obstacle_success_rate
0,-1.470705038344895,102.02881838454012,0.79,0.21,0.02,94.67,2.153839341169223,3.3892160725593565,0.9941116432440921,0.025562480194359354,0.0033273476286046267,0.02281609802471744,0.010668638428224358,1.0,0.7692307692307693
10000,-18.21845445975079,109.28394878113923,0.77,0.23,0.01,94.69,2.120330032691854,3.300266271829605,0.9709256639949709,0.03912767979723308,0.012250501636920477,0.04150385468370472,0.00702291688668286,1.0,0.7472527472527473
20000,-11.289073344781064,94.44752654897493,0.84,0.16,0.0,97.95,2.190408780755897,3.5111211109161378,0.9097248540892898,0.055640632976008166,0.02006125574272588,0.08841245533435427,0.007759060745278203,1.0,0.8241758241758241
30000,-3.8473759674304167,92.39284809049265,0.86,0.14,0.0,98.88,2.1852551663678605,3.5192982363700867,0.9140766445383223,0.061792071197411,0.020226537216828478,0.09046318770226537,0.012439320388349514,1.0,0.8461538461538461
40000,-4.777653813832221,96.96972189102038,0.85,0.15,0.0,98.44,2.161460207942873,3.5822108566761015,0.9195838712126965,0.060900040633888666,0.01884396586753352,0.0844676960585128,0.011783827712312069,1.0,0.8351648351648352
50000,-4.192208705913945,98.35491149772398,0.85,0.15,0.0,97.88,2.1290402361864107,3.5533667063713072,0.9185939653852044,0.05634450347364119,0.01726604004903964,0.07810584389047813,0.013945647731916633,1.0,0.8351648351648352
60000,2.7808889537191135,90.16508051261192,0.88,0.12,0.0,99.08,2.13327678991227,3.6058313286304475,0.9233084970271694,0.04819337908760597,0.012515139281388777,0.06842955187727089,0.01746063786838918,1.0,0.8681318681318682
70000,-7.231706018370824,100.2757064901406,0.86,0.13,0.0,99.28,2.13381546140532,3.362914297580719,0.9049155722326454,0.06154311039484287,0.020598307816277195,0.08395447219983884,0.012288477034649477,1.0,0.8461538461538461
80000,-0.04099681003932346,93.21060342712687,0.87,0.12,0.0,99.54,2.132037409821933,3.487515215873718,0.9213256699261029,0.04842274462527627,0.013110307414104882,0.07152903355435002,0.013311231665662046,1.0,0.8571428571428571
90000,3.5454436653721495,92.84524516530584,0.87,0.13,0.0,98.74,2.1343047392077277,3.5343713998794555,0.9307744513988387,0.04704273850516508,0.01240631962730403,0.06284180676524205,0.015444601985011141,1.0,0.8571428571428571
100000,-0.3207803673030867,99.43146258798335,0.84,0.15,0.0,97.97,2.1223906769021412,3.440128368139267,0.9367964709461515,0.04639175257731959,0.011074818822088394,0.05450648157599265,0.00979891803613351,1.0,0.8241758241758241
110000,7.843127861590183,92.3500421414109,0.86,0.14,0.0,98.35,2.1258756887092023,3.54649706363678,0.9539114614918133,0.03884087442806304,0.009049313675648195,0.04356888662938485,0.011489578037620742,1.0,0.8461538461538461
120000,7.806874843260885,93.56823344444688,0.87,0.13,0.0,98.9,2.1345066259554004,3.5375159108638763,0.9411054062216853,0.043124368048533875,0.00980788675429727,0.052123356926188066,0.014307381193124368,1.0,0.8571428571428571
130000,12.629681059233844,88.23027375793119,0.89,0.11,0.0,99.65,2.1406473609220846,3.5484206855297087,0.9479517711375721,0.04079277471149022,0.010185649774209734,0.0445057701956849,0.017210235825388862,1.0,0.8791208791208791
140000,9.916112363591091,92.87354286711542,0.87,0.13,0.0,98.78,2.130043760607732,3.5876686573028564,0.9570626612046731,0.04181008301275562,0.010984004859283256,0.037659445231828306,0.012806236080178173,1.0,0.8571428571428571
150000,13.91486349113169,86.7947830937821,0.9,0.1,0.0,100.24,2.1388475384310732,3.5516230142116547,0.9432470728615109,0.03895650438946528,0.010125698324022346,0.04853351955307263,0.01391660015961692,1.0,0.8901098901098901
160000,11.261080190943503,90.98566842028241,0.89,0.11,0.0,99.93,2.1308774917278788,3.5881514251232147,0.9502062242219722,0.0397778444911438,0.010507355148604023,0.041829280496347446,0.01441008706094266,1.0,0.8791208791208791
170000,20.311427499929415,78.01360923752657,0.92,0.08,0.0,100.99,2.13916233346652,3.5394352114200593,0.9644151808833321,0.0359441528864244,0.008466184770769384,0.03549856421427864,0.014308347361124863,1.0,0.9120879120879121
