model,link,collision,geometry,static,status,min_x,min_y,min_z,max_x,max_y,max_z,source_uri
parked_cessna_3,propeller,collision,mesh,true,occupied,-88.6511247373,39.860025987,0.307948141098,-88.2089804327,40.1375460625,2.51311460018,model://cessna/meshes/cessna_prop.dae
parked_cessna_3,front_wheel,collision,cylinder,true,occupied,-89.468,39.9499988612,0.0569996836639,-89.108,40.0500011388,0.417000316336,
parked_cessna_3,rear_left_wheel,collision,cylinder,true,occupied,-91.25,41.1899984183,0.0499994938614,-90.75,41.3500015817,0.550000506139,
parked_cessna_3,rear_right_wheel,collision,cylinder,true,occupied,-91.25,38.6499984183,0.0499994938614,-90.75,38.8100015817,0.550000506139,
control_radio_tower,link,collision,mesh,true,occupied,-62.8671331406,38.3252429962,-3.98622514121e-14,-51.1373929977,51.720893383,44.168006897,model://radio_tower/meshes/radio_tower.dae
airport_fire_station,link,main,box,true,occupied,102.01,40.025,0,121.99,49.705,10,
airport_fire_station,link,front_top,box,true,ignored_above_slice,102,49.6995,4,122,50.2145,10,
airport_fire_station,link,column_0,box,true,occupied,120.6755,49.6995,0,121.9905,50.2145,4,
airport_fire_station,link,column_1,box,true,occupied,114.015,49.6995,0,116.645,50.2145,4,
airport_fire_station,link,column_2,box,true,occupied,107.355,49.6995,0,109.985,50.2145,4,
airport_fire_station,link,column_3,box,true,occupied,102.0095,49.6995,0,103.3245,50.2145,4,
airport_fire_station,link,roof_back,box,true,ignored_above_slice,101.265,39.2584914353,9.57429614564,122.735,45.2575085647,11.3597038544,
airport_fire_station,link,roof_front,box,true,ignored_above_slice,101.265,45.1204914353,9.57429614564,122.735,51.1195085647,11.3597038544,
airport_fire_station,link,roof_base,box,true,ignored_above_slice,101.265,39.258,9.565,122.735,51.118,9.845,
airport_fire_station,link,roof_filling_0,box,true,ignored_above_slice,101.265,40.423,9.845,122.735,49.953,10.125,
airport_fire_station,link,roof_filling_1,box,true,ignored_above_slice,101.265,40.983,10,122.735,49.393,10.28,
airport_fire_station,link,roof_filling_2,box,true,ignored_above_slice,101.265,42.063,10.28,122.735,48.313,10.56,
airport_fire_station,link,roof_filling_3,box,true,ignored_above_slice,101.265,43.163,10.56,122.735,47.213,10.84,
airport_fire_station,link,roof_filling_4,box,true,ignored_above_slice,101.265,44.273,10.84,122.735,46.103,11.12,
fire_truck_1,link,collision,mesh,true,occupied,90.2268899918,38.4523101807,-0.00329000018537,93.7731100082,50.8817199707,3.35177001953,model://fire_truck/meshes/fire_truck.obj
fire_truck_2,link,collision,mesh,true,occupied,80.2268899918,38.4523101807,-0.00329000018537,83.7731100082,50.8817199707,3.35177001953,model://fire_truck/meshes/fire_truck.obj
airport_fuel_station,link,collision,mesh,true,occupied,-19.3702637704,29.7113441549,-2.84418106844e-08,10.6162461536,50.2892704194,8.9825963974,model://gas_station/meshes/gas_station.dae
fuel_depot_tank_1,link,collision,mesh,true,occupied,128.880335808,46.8803324699,-0.111659966409,135.11966753,53.119664669,23.2186145782,model://water_tower/meshes/water_tower.dae
fuel_depot_tank_2,link,collision,mesh,true,occupied,143.880335808,34.8803324699,-0.111659966409,150.11966753,41.119664669,23.2186145782,model://water_tower/meshes/water_tower.dae
fuel_depot_tank_3,link,collision,mesh,true,occupied,128.880335808,34.8803324699,-0.111659966409,135.11966753,41.119664669,23.2186145782,model://water_tower/meshes/water_tower.dae
fuel_depot_tank_4,link,collision,mesh,true,occupied,143.880335808,46.8803324699,-0.111659966409,150.11966753,53.119664669,23.2186145782,model://water_tower/meshes/water_tower.dae
jet_bridge_1,link,collision,mesh,true,occupied,-42.8067907442,-42.2359040104,-0.931038975716,-27.1932121168,-33.7640945591,3.95048475266,model://truss_bridge/meshes/truss_bridge.dae
jet_bridge_2,link,collision,mesh,true,occupied,72.1932092558,-42.2359040104,-0.931038975716,87.8067878832,-33.7640945591,3.95048475266,model://truss_bridge/meshes/truss_bridge.dae
stop_sign_main_gate,link,collision,mesh,true,occupied,157.703454435,-42.0118058957,0,158.296545565,-41.988985735,1.81759572029,model://stop_sign/meshes/stop_sign.dae
stop_sign_taxiway_crossing,link,collision,mesh,true,occupied,-95.0110143036,-9.2965455218,0,-94.9881931547,-8.70345439151,1.81759572029,model://stop_sign/meshes/stop_sign.dae
cone_apron_1,link,collision,mesh,false,occupied,-45.2514600009,-24.2514600009,0,-44.7485399991,-23.7485399991,1.08888879418,model://construction_cone/meshes/construction_cone.dae
cone_apron_2,link,collision,mesh,false,occupied,89.7485399991,-24.2514600009,0,90.2514600009,-23.7485399991,1.08888879418,model://construction_cone/meshes/construction_cone.dae
uav1_iris_depth_camera,uav1_iris::base_link,base_link_inertia_collision,box,false,ignored_model,,,,,,,
uav1_iris_depth_camera,uav1_iris::rotor_0,rotor_0_collision,cylinder,false,ignored_model,,,,,,,
uav1_iris_depth_camera,uav1_iris::rotor_1,rotor_1_collision,cylinder,false,ignored_model,,,,,,,
uav1_iris_depth_camera,uav1_iris::rotor_2,rotor_2_collision,cylinder,false,ignored_model,,,,,,,
uav1_iris_depth_camera,uav1_iris::rotor_3,rotor_3_collision,cylinder,false,ignored_model,,,,,,,
airpor_cart_target,link,collision,mesh,true,occupied,78.7618491258,-28.013373442,-0.00734785757959,81.2953452919,-22.2699864912,1.85819447041,model://pickup/meshes/pickup.dae
