episode,global_step,length,return,success,collision,pair_collision,epsilon,box_length,box_width,blocked_lane,actor_loss,critic_loss
1,130,130,-73.798767,0,0,0,0.099697,0.8438,0.9703,go2_3,nan,nan
2,260,130,-152.574547,0,0,0,0.099393,1.1423,0.8041,go2_3,-16.789928,150.072165
3,390,130,-118.986405,0,0,0,0.099090,0.8332,1.1656,go2_2,-17.557270,84.365396
4,520,130,-78.737279,0,0,0,0.098787,1.0299,1.0425,go2_2,-19.602219,36.752867
5,650,130,-58.749018,0,0,0,0.098483,1.1808,1.1261,go2_3,-18.929344,20.670218
6,780,130,-60.701184,0,0,0,0.098180,0.9563,1.0190,go2_3,-20.225441,12.897082
