global_step,reward,reward_std,success_rate,collision_rate,episode_length,min_obstacle_clearance,min_pair_distance
10000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
20000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
30000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
40000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
50000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
60000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
70000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
80000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
90000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
100000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
110000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
120000,71.76338774862324,5.281025567973686,1.0,0.0,101.24,0.44531276226043703,2.84
