global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,over_avoidance_rate,extreme_avoidance_rate,empty_success_rate,obstacle_success_rate
0,7.0367858431010974,97.33545338796016,0.82,0.18,0.01,96.38,2.159845971353352,3.414463030695915,0.9738369842867095,0.02682091720273916,0.0038908487238016186,0.019817389499896244,0.014888981116414193,1.0,0.8021978021978022
10000,-4.285242211413279,93.12326111313067,0.85,0.15,0.0,97.82,2.1659758377186518,3.499925036430359,0.8918274775121089,0.03915354733183398,0.00894500102228583,0.09277243917399305,0.013954201594765897,1.0,0.8351648351648352
20000,-18.873232972328406,96.72895117858164,0.83,0.17,0.0,97.2,2.17098361331824,3.5531039917469025,0.8806603409704544,0.0779320987654321,0.03477366255144033,0.13271604938271606,0.01044238683127572,1.0,0.8131868131868132
30000,-10.613220255128107,98.17555631553854,0.84,0.16,0.0,97.3,2.13109178836894,3.465332400798798,0.8967966036279429,0.06875642343268243,0.020863309352517987,0.10909558067831449,0.011870503597122302,1.0,0.8241758241758241
40000,-6.629235513097374,97.76980584854026,0.84,0.16,0.0,97.37,2.134354660465324,3.4964937889575958,0.8929642445213379,0.05725582828386567,0.015199753517510527,0.10316319194823868,0.012221423436376708,1.0,0.8241758241758241
50000,-6.058820703477831,98.75744350370056,0.86,0.14,0.01,98.13,2.1440881554654334,3.516721578836441,0.8998624063598838,0.05915622133904005,0.019107306634056864,0.09553653317028432,0.011566289615815755,1.0,0.8461538461538461
60000,5.1031633570710255,90.82535238416135,0.86,0.14,0.0,98.13,2.147169509305095,3.474599326848984,0.9273602199816682,0.04356465912564965,0.009630082543564658,0.06990726587180271,0.013400591052685214,1.0,0.8461538461538461
70000,5.465097939362531,93.0460261788944,0.87,0.13,0.01,98.47,2.1548033110430698,3.3836090064048765,0.9188326493388053,0.04448055245252361,0.010764699908601605,0.07032598761043973,0.01269422159033208,1.0,0.8571428571428571
80000,-0.5972594094226952,96.1619978647138,0.85,0.15,0.01,97.89,2.1368371108168502,3.315253943800926,0.9232769830949284,0.04423332311778527,0.0088364490754929,0.06951680457656553,0.012667279599550515,1.0,0.8351648351648352
90000,2.9531975562963635,91.39185056324808,0.89,0.11,0.0,99.53,2.1493357935090898,3.3994670414924624,0.8935673395601085,0.05500854013865166,0.015271777353561741,0.08655681704008841,0.015171305134130413,1.0,0.8791208791208791
100000,4.899792093459983,90.76989629715364,0.89,0.11,0.0,99.39,2.1545337175749593,3.425484710931778,0.891319104004827,0.053778046081094676,0.011469966797464533,0.09130697253244793,0.01363316228996881,1.0,0.8791208791208791
110000,5.438760020220652,91.46500058768042,0.89,0.11,0.0,99.23,2.153422901870217,3.4695062184333803,0.8977573057464321,0.054922906379119216,0.012496220900937216,0.08878363398165877,0.014965232288622392,1.0,0.8791208791208791
120000,8.139193746554811,89.59615041776718,0.89,0.11,0.0,99.37,2.1509875409476806,3.4755364429950713,0.9147012282420315,0.05263157894736842,0.011673543322934488,0.07099728288215759,0.014440978162423266,1.0,0.8791208791208791
130000,6.7262391015891625,90.74737049011097,0.87,0.13,0.0,98.54,2.1402208158216673,3.4906990766525268,0.9191221142162819,0.05140044651918003,0.011010757052973412,0.06652120966105135,0.013446316216764766,1.0,0.8571428571428571
140000,12.337521299638901,81.66098761049399,0.88,0.12,0.0,98.89,2.145384649836633,3.4394987672567368,0.9353981629089805,0.04869046415208818,0.011325715441399535,0.054151076954191524,0.01516836889473152,1.0,0.8681318681318682
150000,8.804649278521829,83.90167347193785,0.88,0.12,0.0,98.89,2.146125703281723,3.4734466367959977,0.9240909090909091,0.050460107189806855,0.013600970775609263,0.059763373445242185,0.01526949135402973,1.0,0.8681318681318682
160000,11.75675000252104,83.98472474413938,0.89,0.11,0.0,99.31,2.147805719261523,3.506799737215042,0.9400845155448234,0.047527942805356965,0.013241365421407714,0.05024670224549391,0.01530560870003021,1.0,0.8791208791208791
170000,3.59746621661383,86.20194266547567,0.89,0.11,0.0,99.42,2.148005331035238,3.5183047354221344,0.9035510081251881,0.05547173606920137,0.015892174612753975,0.07347616173808087,0.015691007845503924,1.0,0.8791208791208791
180000,3.474459752753028,84.81652951991818,0.9,0.1,0.0,99.77,2.150008384824032,3.5324548304080965,0.9012605042016807,0.060138318131702916,0.02270221509471785,0.07672647088303097,0.016237345895559786,1.0,0.8901098901098901
190000,4.126110227821373,88.67317634974926,0.89,0.11,0.0,99.44,2.141461515907431,3.5609014093875886,0.909611328713468,0.05641592920353982,0.01910699919549477,0.06637168141592921,0.013224054706355591,1.0,0.8791208791208791
200000,10.287924173805514,81.22050573977893,0.92,0.08,0.0,100.74,2.1532326286970056,3.5074015164375307,0.9097258340144141,0.04457018066309311,0.014443120905300774,0.07117331745086361,0.01493944808417709,1.0,0.9120879120879121
