global_step,episode,length,reward,success,collision,epsilon,temperature
63,1,63,-356.9240332990885,0.0,1.0,0.1998215,0.9992125
125,2,62,-402.44473922252655,0.0,1.0,0.19964583333333336,0.9984375
189,3,64,-352.52753058075905,0.0,1.0,0.19946450000000002,0.9976375
248,4,59,-378.80616346001625,0.0,1.0,0.19929733333333335,0.9969
318,5,70,-387.55452182888985,0.0,1.0,0.199099,0.996025
375,6,57,-358.02187360823154,0.0,1.0,0.19893750000000002,0.9953125
434,7,59,-350.7244253009558,0.0,1.0,0.19877033333333335,0.994575
517,8,83,-424.6240846514702,0.0,1.0,0.19853516666666668,0.9935375
574,9,57,-329.1202227026224,0.0,1.0,0.19837366666666667,0.992825
630,10,56,-326.728676199913,0.0,1.0,0.198215,0.992125
690,11,60,-347.0644414946437,0.0,1.0,0.198045,0.991375
745,12,55,-386.9937066435814,0.0,1.0,0.19788916666666667,0.9906875
875,13,130,-280.00978188589215,0.0,0.0,0.19752083333333334,0.9890625
932,14,57,-302.9645653218031,0.0,1.0,0.19735933333333333,0.98835
1001,15,69,-371.27881786227226,0.0,1.0,0.19716383333333334,0.9874875
1070,16,69,-410.7711198180914,0.0,1.0,0.19696833333333336,0.986625
1136,17,66,-355.31209640204906,0.0,1.0,0.19678133333333334,0.9858
1266,18,130,-289.2195643931627,0.0,0.0,0.196413,0.984175
1325,19,59,-333.9024629741907,0.0,1.0,0.19624583333333334,0.9834375
1395,20,70,-359.315069437027,0.0,1.0,0.1960475,0.9825625
1455,21,60,-367.95877107977867,0.0,1.0,0.1958775,0.9818125
1523,22,68,-374.38209545612335,0.0,1.0,0.19568483333333334,0.9809625
1584,23,61,-367.7117565870285,0.0,1.0,0.19551200000000002,0.9802
1650,24,66,-460.7281312942505,0.0,1.0,0.195325,0.979375
1780,25,130,-480.7386517971754,0.0,0.0,0.19495666666666667,0.97775
1846,26,66,-349.57254433631897,0.0,1.0,0.19476966666666667,0.976925
1910,27,64,-407.74319852888584,0.0,1.0,0.19458833333333334,0.976125
1971,28,61,-361.95208290219307,0.0,1.0,0.19441550000000002,0.9753625
2084,29,113,-44.143799126148224,1.0,0.0,0.19409533333333334,0.97395
2149,30,65,-214.29724459722638,0.0,1.0,0.1939111666666667,0.9731375
