global_step,reward,reward_std,success_rate,collision_rate,pair_collision_rate,episode_length,min_obstacle_clearance,min_pair_distance,clear_default_action_rate,action_switch_rate,action_oscillation_rate,empty_success_rate,obstacle_success_rate
0,-296.22008845090863,57.83895111685198,0.0,0.3,0.19,113.51,2.687703379614977,0.9911572921276093,0.022440773744838077,0.1635979208880275,0.1009602678178134,0.0,0.0
10000,29.195445970497094,71.47741572814468,0.91,0.09,0.0,97.62,2.30825034505222,3.0243406438827516,0.9531041833200107,0.027658266748617086,0.008246261012087686,1.0,0.9010989010989011
20000,-1.1543999579222872,57.2171815717114,0.67,0.03,0.0,108.06,2.2894225173909217,2.343419098854065,0.6552983448194616,0.03900610771793448,0.006153988524893577,1.0,0.6373626373626373
30000,12.779203215572052,74.67243442905166,0.8,0.08,0.0,103.76,2.338515313920798,2.7996810162067414,0.7611186398915856,0.02780454895913647,0.0068427139552814185,1.0,0.7802197802197802
40000,40.90854305730245,34.90295577760373,0.98,0.02,0.0,101.33,2.2939343904619456,2.769737182855606,0.8524223443691679,0.027040363169841115,0.005279778940096714,1.0,0.978021978021978
50000,42.77148899974301,41.2976486234445,0.98,0.02,0.0,100.27,2.285086138518527,2.9397297978401182,0.9309987029831388,0.034008177919617036,0.011568764336292012,1.0,0.978021978021978
60000,50.741683780234595,24.65138018475664,0.96,0.0,0.0,101.75,2.3451825748384,2.866381938457489,0.9172620566471038,0.022506142506142506,0.004176904176904177,1.0,0.9560439560439561
70000,39.24269800371971,59.38753594185024,0.96,0.04,0.0,99.39,2.260117101910073,2.781654100418091,0.9525864887842522,0.01634973337357883,0.0009055236945366737,1.0,0.9560439560439561
80000,54.1810168415308,22.916196143434817,0.96,0.0,0.0,102.2,2.376827166378498,2.5800046944618225,0.9446881556360862,0.017123287671232876,0.001223091976516634,1.0,0.9560439560439561
90000,63.522648491705766,7.618833202640406,1.0,0.0,0.0,101.51,2.422285032272339,2.6542798399925234,0.9548105890648035,0.017535218205102947,0.0005910747709585262,1.0,1.0
100000,65.0746073122276,7.117810376587343,1.0,0.0,0.0,101.27,2.3902139237523077,2.74,0.9681712962962963,0.014318159375925742,0.000543102597017873,1.0,1.0
110000,64.96307005773764,6.921185876842661,1.0,0.0,0.0,101.14,2.352612953186035,2.746783962249756,0.9665743543504862,0.015226418825390548,0.0008898556456397073,1.0,1.0
120000,65.21221435684711,6.806466752113326,1.0,0.0,0.0,101.36,2.358053081929684,2.6888469505310058,0.9630010277492291,0.015193370165745856,0.0004439621152328335,1.0,1.0
130000,65.3783619280532,6.97632690683394,1.0,0.0,0.0,101.46,2.3848305901885034,2.674254264831543,0.9649134060295061,0.014685590380445496,0.0,1.0,1.0
140000,65.54248473819345,7.22392553599766,1.0,0.0,0.0,101.26,2.3626611211895945,2.7000142979621886,0.9657899813516816,0.013628283626308513,0.0,1.0,1.0
150000,65.09548766694962,6.918449813650547,1.0,0.0,0.0,101.51,2.4055977189540863,2.5639755392074584,0.9653890526855531,0.01517091912126884,0.0,1.0,1.0
